id,title,release_year,duration,rating,director_id,actor_ids,genre_ids,plot,budget,revenue
0,"""Notorious Bettie Page, The""",2005,129,3.0,427,517;1481;764;1230;691;988,12,Customer specific could type painting fast art. Model mean eat heavy red. Fear daughter fast. Prepare several bad.,21035787,62508531
1,Star Trek V: The Final Frontier,1989,150,2.7,347,614;82;1988;1902;1796;479;1562;1914;1844,5;10,Land high church know. Blue event every relationship law clear. Follow admit appear force.,19112375,31512380
2,Starsky & Hutch,2004,151,3.3,474,220;862;872;1585;551;1953;1182;820;1214;58;335,5;14;15;8,Center story heart agent its food. Force structure alone executive. Series always memory reveal require market until.,52035395,67426862
3,"""Colonel Chabert, Le""",1994,130,4.5,262,1888;615;1815;1222;1976,12;0;17,Bill clear research begin. Win full include seem manage nation.,15196600,19776936
4,"""Country Girl, The""",1954,124,3.5,357,406;1948;1991;1163;1539;285;266;1358;682;1614;1965,12,Politics how choice state sport large. Several than dinner argue. Agency poor recently long among serve wear.,3565160,0
5,"""Civil War, The""",1990,108,4.0,27,633;1623;1568;289,1;17,Floor hold plant how member face age. Nearly always operation decade old according.,8772820,21680892
6,John Mulaney: New In Town,2012,101,4.0,410,939;810;338;943;1;1348;302;410,14,Think meeting stock however charge account physical performance. News memory civil cut parent.,5883699,24702552
7,Saving Christmas,2014,115,0.5,452,617;629;164;378;483,11;14,Force employee budget experience agreement. Whose public show daughter both hold blood value. Customer now section strategy purpose.,25842428,0
8,Kolya (Kolja),1996,109,4.4,439,894;184;1483;501;315;1402,14;12,Guess approach personal note this. Describe agency actually stop team. Matter result result leader hospital. Tv lose others some.,26988531,7381623
9,Alice in Wonderland,2010,127,2.9,284,10;977;326;705;204;964;1126;1406,9;6,Pattern this system people. Water us field.,13248055,20699547
10,Mr. Woodcock,2007,107,2.7,201,1869;967;1368;770;1702;949,14,Which best happy position wife score health. Individual against side together few. Lead usually work trip build.,153971516,304825749
11,Life Is Beautiful (La Vita è bella),1997,98,4.1,361,1562;1877;196;793;263;651,14;12;0;17,Company both right lay though reason event.,54983566,9277625
12,Stay Tuned,1992,124,2.5,390,818;1583;669;1839;579,14,Look rule check assume question air market.,3403551,26278
13,Blown Away,1994,123,2.8,419,1222;806;1093;146;710;1000;1371;1516;1987,5;8,Company actually today prevent where then. Rest dark environment provide white. Dog language ability practice them.,50549650,114093209
14,"""Decline of Western Civilization Part II: The Metal Years, The""",1988,117,3.0,300,454;1813;1246,1,Weight major discuss summer another hair our. Star name health top risk must fly. Imagine oil head work should challenge.,17874690,0
15,Melvin and Howard,1980,105,4.0,91,755;741;696;1026;1685;3,12,Imagine which beat education case under population. Send technology clearly amount media teacher person. Game plan seat surface off with society station.,15238889,54641830
16,The Nut Job 2: Nutty by Nature,2017,126,2.0,312,1873;158;1322;471;282;1023;384;90;432,13;11;14,Statement thing wrong name. Billion about various professor clearly dinner report. Major for student health view mission.,4143120,10300318
17,Once,2006,112,3.9,154,190;695;786;1339;368;871;308;583;637,12;16;0,Officer seek reach write difficult. Choose really send respond throw wide son. Certain authority wear drop image stay my.,12275033,35812585
18,I Killed My Mother (J'ai tué ma mère),2009,140,3.5,198,71;534;1963;1955;863;367;334;815;1397;1059,12,Age all building control simply. Attack laugh budget war.,61299369,45433481
19,Unedited Footage of a Bear,2014,113,4.0,427,952;1651;169;709,3;8,Recently feel hold. Field people try play order. With matter goal eight list something send.,33641245,116510318
20,A Quiet Place,2018,110,2.8,351,1343;1766;828;1645,12;3;8,Read per go will make agree. While service beautiful.,20062059,6831081
21,Camp Nowhere,1994,96,2.5,413,329;653;263,11;14,Begin early store piece behind here front. Worker alone finally since take describe improve act.,54435431,219612127
22,Notorious,2009,118,3.0,294,786;1405;931;23;995;1339;1965;1372;822;865;1579,12;16,Television sit very know maybe leg recent hold. President any one recently make total fall.,65892349,167528268
23,"""Substitute, The""",1996,107,3.0,27,870;529;1519;1298;237;1236;1652,5;15;12,Face former body. Why baby lot eat.,34670356,149327124
24,Once Were Warriors,1994,119,4.0,410,1028;763;1599;969;1458;686;1728;1095;1990;747,15;12,Significant analysis consumer future. Suffer director know red treatment big cause science. None just happen recognize after modern really play.,115484127,0
25,Romper Stomper,1992,136,3.3,57,868;1088;1555;785;1782,5;12,List everything newspaper institution assume enjoy. Listen medical during until case agency.,26351798,40884524
26,Despite the Falling Snow,2016,121,2.0,345,307;14;690;1941,12;0;8,Cost cultural process national newspaper long wife. Old break always dark.,3309908,5529175
27,"""Cider House Rules, The""",1999,127,3.8,478,404;1054;1664;1258;1490;1786;931,12,Second hospital head member. Both program one.,105888164,129458305
28,"""Baxter, The""",2005,103,4.0,222,951;576;81,14;12;0,They case TV team song.,14625000,49331633
29,And Now... Ladies and Gentlemen...,2002,126,4.0,62,942;751;102;1821;1227;1405;756;516;871;691,0;8,Long degree common need phone teach audience. Tax certainly set local.,14221134,39391135
30,My Life as McDull (Mak dau goo si),2001,121,5.0,345,1570;1677;48;1111;547;366;600,13;14;12,Clearly phone including personal visit still image. Amount fly house cover risk health.,63633141,60255516
31,Think Like a Man,2012,113,2.5,182,35;914;664;609;1302;72;1220;228;731,14,Student different traditional look we meeting image the. Drop miss market avoid. All at be through certainly political hard hotel.,16319835,0
32,Crossing Delancey,1988,125,5.0,374,1088;1512;811,14;0,Field movement force final way memory. Serious style operation nice radio out. Case front reality window mouth pattern as.,31360361,62961261
33,How the Grinch Stole Christmas!,1966,115,3.6,127,172;1095;193;258;1488,13;14;9;16,Various themselves organization direction unit. Trade not give fill stay military. Everything our prove could party skin. Couple rather Republican need daughter.,5865681,8030305
