Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,FBIO,FBY,FBIO,FBY,FBIO,FBY,FBIO,FBY,FBIO,FBY
Date,,,,,,,,,,
2011-11-17,165.0,,165.0,,120.0,,120.0,,133,
2011-11-18,150.0,,150.0,,150.0,,150.0,,20,
2011-11-21,150.0,,150.0,,150.0,,150.0,,0,
2011-11-22,150.0,,150.0,,150.0,,150.0,,33,
2011-11-23,150.0,,150.0,,125.4000015258789,,135.0,,133,
2011-11-25,120.1500015258789,,120.1500015258789,,120.1500015258789,,120.1500015258789,,87,
2011-11-28,150.0,,150.0,,150.0,,150.0,,33,
2011-11-29,127.5,,135.0,,127.5,,135.0,,47,
2011-11-30,142.5,,150.0,,142.5,,150.0,,13,
2011-12-01,142.5,,142.5,,142.5,,142.5,,20,
2011-12-02,142.5,,142.5,,142.5,,142.5,,47,
2011-12-05,131.25,,131.25,,131.25,,131.25,,67,
2011-12-06,120.0,,127.5,,120.0,,127.5,,667,
2011-12-07,108.75,,120.0,,108.75,,120.0,,1453,
2011-12-08,105.0,,109.5,,105.0,,109.5,,667,
2011-12-09,108.0,,112.5,,105.0,,106.5,,1400,
2011-12-12,108.0,,112.5,,108.0,,108.0,,253,
2011-12-13,105.0,,108.0,,105.0,,105.0,,1820,
2011-12-14,104.8499984741211,,105.75,,104.8499984741211,,105.0,,327,
2011-12-15,97.5,,98.25,,75.0,,97.5,,1247,
2011-12-16,97.5,,100.5,,91.5,,100.5,,4573,
2011-12-19,90.0,,97.5,,83.55000305175781,,97.5,,4653,
2011-12-20,97.5,,97.5,,89.69999694824219,,89.69999694824219,,14853,
2011-12-21,95.25,,104.25,,90.75,,103.5,,1953,
2011-12-22,91.6500015258789,,105.0,,91.6500015258789,,105.0,,1540,
2011-12-23,95.55000305175781,,98.25,,90.0,,90.0,,533,
2011-12-27,96.75,,99.0,,96.75,,99.0,,233,
2011-12-28,94.5,,94.6500015258789,,94.5,,94.6500015258789,,240,
2011-12-29,90.0,,93.75,,89.8499984741211,,90.0,,3107,
2011-12-30,97.5,,97.5,,93.9000015258789,,97.3499984741211,,700,
2012-01-03,91.5,,93.75,,90.0,,93.75,,793,
2012-01-04,93.30000305175781,,95.4000015258789,,93.30000305175781,,94.5,,587,
2012-01-05,94.05000305175781,,94.05000305175781,,88.80000305175781,,90.1500015258789,,533,
2012-01-06,90.0,,90.0,,89.8499984741211,,90.0,,160,
2012-01-09,86.25,,90.0,,86.25,,87.0,,560,
2012-01-10,78.75,,90.0,,78.75,,87.5999984741211,,993,
2012-01-11,78.1500015258789,,82.5,,76.5,,82.19999694824219,,1373,
2012-01-12,75.0,,78.75,,74.25,,78.0,,2520,
2012-01-13,76.5,,90.0,,75.0,,77.69999694824219,,2927,
2012-01-17,81.0,,85.5,,76.05000305175781,,76.05000305175781,,1113,
2012-01-18,89.25,,89.69999694824219,,80.8499984741211,,80.8499984741211,,1020,
2012-01-19,84.75,,85.94999694824219,,75.0,,75.0,,5167,
2012-01-20,100.3499984741211,,105.0,,84.9000015258789,,85.5,,13753,
2012-01-23,98.55000305175781,,107.8499984741211,,95.25,,99.75,,5460,
2012-01-24,89.4000015258789,,98.0999984741211,,89.4000015258789,,97.94999694824219,,6927,
2012-01-25,97.3499984741211,,97.5,,92.25,,97.5,,1080,
2012-01-26,98.25,,102.75,,94.5,,97.3499984741211,,2387,
2012-01-27,97.5,,99.30000305175781,,93.0,,98.25,,1307,
2012-01-30,95.55000305175781,,98.25,,95.55000305175781,,95.55000305175781,,2227,
2012-01-31,94.94999694824219,,104.25,,94.94999694824219,,95.69999694824219,,3513,
2012-02-01,98.4000015258789,,104.8499984741211,,98.25,,98.25,,2093,
2012-02-02,94.80000305175781,,101.25,,93.0,,99.0,,2800,
2012-02-03,94.05000305175781,,97.5,,94.05000305175781,,94.94999694824219,,1260,
2012-02-06,95.55000305175781,,95.69999694824219,,93.0,,94.05000305175781,,1920,
2012-02-07,91.5,,95.55000305175781,,91.5,,93.9000015258789,,1320,
2012-02-08,96.0,,96.75,,90.0,,92.25,,720,
2012-02-09,94.19999694824219,,105.0,,94.19999694824219,,105.0,,847,
2012-02-10,93.75,,105.0,,93.75,,105.0,,4653,
2012-02-13,94.3499984741211,,97.5,,93.75,,93.75,,1787,
2012-02-14,99.75,,102.0,,94.5,,94.5,,4647,
2012-02-15,99.0,,104.0999984741211,,95.25,,101.25,,4640,
2012-02-16,97.5,,101.0999984741211,,97.5,,100.05000305175781,,2220,
2012-02-17,100.5,,100.5,,97.5,,99.1500015258789,,2040,
2012-02-21,101.69999694824219,,103.3499984741211,,97.94999694824219,,100.05000305175781,,2187,
2012-02-22,102.75,,105.0,,99.5999984741211,,103.5,,1987,
2012-02-23,103.5,,105.0,,101.0999984741211,,103.80000305175781,,2980,
2012-02-24,112.5,,117.75,,104.8499984741211,,105.0,,27820,
2012-02-27,114.1500015258789,,120.0,,112.5,,115.5,,7180,
2012-02-28,113.25,,115.19999694824219,,112.6500015258789,,114.30000305175781,,3433,
2012-02-29,114.30000305175781,,114.75,,108.75,,114.0,,9660,
2012-03-01,115.94999694824219,,116.25,,113.8499984741211,,114.9000015258789,,11453,
2012-03-02,120.0,,120.0,,115.5,,116.25,,4920,
2012-03-05,114.0,,118.5,,111.44999694824219,,118.5,,6987,
2012-03-06,109.5,,116.8499984741211,,108.0,,109.05000305175781,,6960,
2012-03-07,111.75,,113.25,,110.69999694824219,,113.25,,4060,
2012-03-08,111.0,,112.5,,106.94999694824219,,109.19999694824219,,5960,
2012-03-09,112.3499984741211,,112.3499984741211,,109.19999694824219,,111.0,,7373,
2012-03-12,112.05000305175781,,112.05000305175781,,110.25,,111.5999984741211,,5800,
2012-03-13,112.5,,112.94999694824219,,108.75,,111.75,,3380,
2012-03-14,116.25,,116.25,,110.69999694824219,,112.6500015258789,,6507,
2012-03-15,123.1500015258789,,127.05000305175781,,112.94999694824219,,115.94999694824219,,8567,
2012-03-16,134.39999389648438,,141.75,,122.69999694824219,,124.6500015258789,,23673,
2012-03-19,135.0,,135.0,,128.6999969482422,,135.0,,3787,
2012-03-20,129.3000030517578,,134.85000610351562,,127.5,,133.9499969482422,,8140,
2012-03-21,142.8000030517578,,148.1999969482422,,128.39999389648438,,130.5,,10100,
2012-03-22,136.5,,150.0,,133.64999389648438,,144.0,,10473,
2012-03-23,135.60000610351562,,137.6999969482422,,132.0,,137.6999969482422,,3847,
2012-03-26,135.0,,136.5,,131.25,,135.75,,4620,
2012-03-27,135.0,,136.5,,132.3000030517578,,135.0,,9693,
2012-03-28,133.5,,135.0,,131.25,,131.25,,3040,
2012-03-29,129.60000610351562,,132.3000030517578,,122.69999694824219,,131.25,,6687,
2012-03-30,126.9000015258789,,135.0,,126.0,,130.5,,3873,
