Price,Close,High,Low,Open,Volume
Ticker,GEVO,GEVO,GEVO,GEVO,GEVO
Date,,,,,
2011-02-09,98640.0,105180.0,93120.0,93120.0,756
2011-02-10,100980.0,101340.0,96900.0,100680.0,61
2011-02-11,100140.0,101880.0,97380.0,101880.0,30
2011-02-14,103200.0,104820.0,99600.0,102000.0,62
2011-02-15,102180.0,109680.0,99600.0,105840.0,53
2011-02-16,108960.0,109080.0,102720.0,103500.0,14
2011-02-17,118860.0,120000.0,112260.0,113940.0,35
2011-02-18,119040.0,133800.0,117240.0,119880.0,37
2011-02-22,110220.0,126000.0,109560.0,119100.0,16
2011-02-23,111300.0,119760.0,110040.0,110640.0,11
2011-02-24,115920.0,115920.0,110340.0,112140.0,10
2011-02-25,119640.0,122280.0,117180.0,117360.0,20
2011-02-28,118260.0,126000.0,117180.0,121080.0,12
2011-03-01,113700.0,119640.0,111000.0,119520.0,10
2011-03-02,115500.0,116040.0,112200.0,114000.0,6
2011-03-03,114600.0,117000.0,112920.0,115620.0,10
2011-03-04,114240.0,115740.0,112980.0,115500.0,5
2011-03-07,116460.0,119160.0,114300.0,115200.0,12
2011-03-08,116820.0,117480.0,115800.0,117120.0,7
2011-03-09,113700.0,117240.0,109980.0,116760.0,10
2011-03-10,111600.0,113940.0,110580.0,113400.0,14
2011-03-11,113280.0,113400.0,109980.0,110340.0,3
2011-03-14,111420.0,113400.0,109980.0,113400.0,6
2011-03-15,110880.0,111900.0,106860.0,109980.0,6
2011-03-16,111660.0,116100.0,109800.0,114540.0,15
2011-03-17,116340.0,118500.0,111480.0,112320.0,4
2011-03-18,118380.0,118500.0,116700.0,117780.0,6
2011-03-21,112260.0,119880.0,111480.0,119880.0,11
2011-03-22,115200.0,116400.0,109920.0,111000.0,5
2011-03-23,105180.0,116580.0,103860.0,115620.0,14
2011-03-24,104280.0,105120.0,102180.0,105120.0,4
2011-03-25,107040.0,107040.0,103920.0,105000.0,3
2011-03-28,112560.0,115500.0,106140.0,108360.0,8
2011-03-29,118800.0,123000.0,117000.0,117000.0,69
2011-03-30,120600.0,121920.0,113940.0,120120.0,125
2011-03-31,118200.0,122340.0,115380.0,120900.0,99
2011-04-01,127860.0,128040.0,112860.0,119340.0,23
2011-04-04,140460.0,141900.0,126300.0,128040.0,39
2011-04-05,137760.0,148980.0,134280.0,142680.0,31
2011-04-06,147900.0,153540.0,132780.0,137580.0,19
2011-04-07,153300.0,158160.0,145560.0,148560.0,23
2011-04-08,151800.0,157860.0,150000.0,154800.0,10
2011-04-11,146700.0,156420.0,146280.0,151140.0,12
2011-04-12,140100.0,148200.0,138000.0,146640.0,12
2011-04-13,133560.0,142500.0,133560.0,139980.0,6
2011-04-14,125460.0,132900.0,124140.0,132900.0,14
2011-04-15,122040.0,131100.0,118440.0,124980.0,13
2011-04-18,115620.0,120300.0,113280.0,120300.0,17
2011-04-19,118260.0,119640.0,116700.0,116700.0,6
2011-04-20,126600.0,126600.0,118140.0,119100.0,6
2011-04-21,120660.0,127200.0,119460.0,126540.0,4
2011-04-25,123660.0,124020.0,120300.0,120960.0,4
2011-04-26,121920.0,123720.0,117000.0,123720.0,8
2011-04-27,117780.0,122160.0,116400.0,122160.0,7
2011-04-28,115200.0,119880.0,114840.0,118200.0,8
2011-04-29,116100.0,118260.0,111120.0,114600.0,10
2011-05-02,122460.0,125760.0,117060.0,117240.0,8
2011-05-03,119100.0,125520.0,118260.0,122400.0,6
2011-05-04,114240.0,123900.0,114060.0,123900.0,6
2011-05-05,113400.0,116100.0,109560.0,114000.0,12
2011-05-06,114840.0,122940.0,114720.0,122940.0,9
2011-05-09,114300.0,119520.0,113280.0,115380.0,5
2011-05-10,116460.0,116700.0,112380.0,115200.0,2
2011-05-11,120180.0,121080.0,116760.0,116760.0,4
2011-05-12,120660.0,121260.0,119100.0,120000.0,7
2011-05-13,119940.0,121860.0,119100.0,120060.0,4
2011-05-16,118260.0,123540.0,118200.0,118740.0,7
2011-05-17,119400.0,120420.0,116160.0,117120.0,4
2011-05-18,119160.0,120300.0,117540.0,119280.0,3
2011-05-19,123720.0,123840.0,119700.0,120000.0,10
2011-05-20,121020.0,122760.0,119700.0,122760.0,2
2011-05-23,120240.0,121440.0,118920.0,119640.0,5
2011-05-24,114600.0,120000.0,114300.0,120000.0,4
2011-05-25,117060.0,118440.0,114240.0,114660.0,6
2011-05-26,117600.0,118980.0,114180.0,117300.0,3
2011-05-27,118440.0,119400.0,116580.0,118380.0,5
2011-05-31,115680.0,119580.0,114660.0,119580.0,14
2011-06-01,109620.0,115860.0,108900.0,115860.0,14
2011-06-02,107880.0,111480.0,105060.0,110100.0,27
2011-06-03,102060.0,108960.0,102000.0,106560.0,7
2011-06-06,99000.0,104700.0,97920.0,102480.0,6
2011-06-07,98880.0,102720.0,98880.0,100320.0,9
2011-06-08,98760.0,100260.0,96300.0,98460.0,4
2011-06-09,98700.0,101160.0,98580.0,98700.0,11
2011-06-10,97200.0,100680.0,95400.0,95400.0,12
2011-06-13,102300.0,102480.0,97200.0,97980.0,8
2011-06-14,99000.0,105600.0,98460.0,103380.0,14
2011-06-15,98580.0,102960.0,97020.0,97920.0,10
2011-06-16,97140.0,101640.0,93000.0,99000.0,16
2011-06-17,95160.0,101460.0,94920.0,98520.0,17
2011-06-20,88860.0,95640.0,86460.0,94980.0,29
2011-06-21,80820.0,89760.0,76740.0,89760.0,349
2011-06-22,81240.0,86100.0,81000.0,81000.0,26
2011-06-23,84900.0,88380.0,80280.0,85320.0,43
2011-06-24,88800.0,90900.0,84060.0,85380.0,109
2011-06-27,85860.0,91260.0,84420.0,88920.0,34
2011-06-28,97020.0,100200.0,87840.0,87840.0,48
2011-06-29,93900.0,97920.0,91260.0,97920.0,42
