Price,Close,High,Low,Open,Volume
Ticker,AGFY,AGFY,AGFY,AGFY,AGFY
Date,,,,,
2021-01-28,38220.0,42900.0,37320.0,39000.0,1171
2021-01-29,34200.0,37332.0,31770.0,36270.0,408
2021-02-01,32760.0,35250.0,32400.0,35250.0,116
2021-02-02,42600.0,45000.0,32790.0,32790.0,583
2021-02-03,56400.0,57570.0,40590.0,43560.0,800
2021-02-04,51750.0,60150.0,49569.0,57060.0,330
2021-02-05,59280.0,62670.0,48840.0,53100.0,540
2021-02-08,59430.0,63720.0,56100.0,60990.0,255
2021-02-09,57600.0,64290.0,54900.0,59850.0,218
2021-02-10,56670.0,63138.0,51000.0,63138.0,226
2021-02-11,51240.0,57900.0,49530.0,56640.0,163
2021-02-12,56820.0,57750.0,45210.0,47550.0,374
2021-02-16,48030.0,55500.0,47070.0,55500.0,351
2021-02-17,41520.0,43950.0,40980.0,42780.0,1402
2021-02-18,43470.0,43500.0,39450.0,41400.0,314
2021-02-19,42090.0,46500.0,42090.0,45000.0,398
2021-02-22,37980.0,42690.0,37860.0,41892.0,340
2021-02-23,38700.0,39750.0,34500.0,36450.0,585
2021-02-24,37200.0,39750.0,37080.0,39030.0,229
2021-02-25,36120.0,38190.0,35550.0,36390.0,226
2021-02-26,38460.0,39750.0,34530.0,35400.0,406
2021-03-01,38670.0,40440.0,38040.0,39600.0,384
2021-03-02,38010.0,42000.0,37650.0,38430.0,571
2021-03-03,36750.0,39240.0,36000.0,38010.0,315
2021-03-04,34680.0,36894.0,33000.0,35880.0,301
2021-03-05,38700.0,39450.0,34020.0,34500.0,539
2021-03-08,37500.0,39870.0,37500.0,38142.0,167
2021-03-09,39420.0,39570.0,37680.0,37770.0,111
2021-03-10,38940.0,39750.0,38250.0,39600.0,131
2021-03-11,39450.0,41850.0,38700.0,39300.0,343
2021-03-12,39720.0,39990.0,37800.0,38700.0,126
2021-03-15,41970.0,42270.0,38400.0,38790.0,164
2021-03-16,38640.0,42960.0,37860.0,42390.0,190
2021-03-17,37500.0,38970.0,36990.0,38550.0,122
2021-03-18,34530.0,38700.0,34080.0,37740.0,138
2021-03-19,35760.0,36900.0,34860.0,35580.0,420
2021-03-22,37650.0,39720.0,35940.0,35940.0,186
2021-03-23,35670.0,38610.0,35400.0,37650.0,81
2021-03-24,37950.0,39300.0,35694.0,36090.0,137
2021-03-25,36000.0,36690.0,35010.0,36600.0,89
2021-03-26,34950.0,36330.0,34620.0,35730.0,74
2021-03-29,35610.0,37050.0,35100.0,35430.0,40
2021-03-30,35550.0,36000.0,34680.0,35340.0,44
2021-03-31,37440.0,37839.0,35610.0,35910.0,130
2021-04-01,37860.0,38991.0,36900.0,38790.0,123
2021-04-05,40350.0,40500.0,38250.0,39000.0,109
2021-04-06,40500.0,40740.0,39480.0,40710.0,91
2021-04-07,38850.0,42450.0,38400.0,40500.0,100
2021-04-08,38760.0,39420.0,37590.0,39210.0,45
2021-04-09,37890.0,39360.0,37770.0,38700.0,64
2021-04-12,36810.0,38700.0,36480.0,37770.0,76
2021-04-13,35730.0,37680.0,35280.0,36810.0,96
2021-04-14,36210.0,36588.0,35550.0,36150.0,29
2021-04-15,35940.0,36870.0,34545.0,36510.0,56
2021-04-16,35730.0,36270.0,34860.0,36000.0,39
2021-04-19,35490.0,36000.0,34560.0,35910.0,68
2021-04-20,29250.0,35580.0,29115.0,35580.0,135
2021-04-21,29400.0,31203.0,29160.0,29400.0,72
2021-04-22,31710.0,31920.0,29586.0,29850.0,82
2021-04-23,30450.0,32100.0,30300.0,31950.0,71
2021-04-26,32580.0,32670.0,30630.0,30630.0,51
2021-04-27,36870.0,37500.0,31890.0,32580.0,99
2021-04-28,33780.0,36540.0,33540.0,36030.0,43
2021-04-29,35310.0,36000.0,33300.0,34290.0,25
2021-04-30,32400.0,35184.0,32100.0,34230.0,45
2021-05-03,31050.0,32730.0,30870.0,32430.0,52
2021-05-04,28200.0,30960.0,27990.0,30960.0,121
2021-05-05,27510.0,29700.0,27000.0,28260.0,81
2021-05-06,23040.0,27813.0,22740.0,27540.0,263
2021-05-07,23970.0,24900.0,23280.0,23730.0,163
2021-05-10,24060.0,25290.0,22590.0,24000.0,196
2021-05-11,23790.0,24105.0,22680.0,23250.0,63
2021-05-12,23580.0,24720.0,22710.0,24150.0,130
2021-05-13,20760.0,23820.0,20430.0,23700.0,242
2021-05-14,23040.0,23280.0,21210.0,21390.0,108
2021-05-17,22860.0,25290.0,22623.0,23430.0,94
2021-05-18,27540.0,27750.0,24360.0,25050.0,220
2021-05-19,26160.0,27000.0,25530.0,25620.0,119
2021-05-20,25890.0,26808.0,24750.0,26310.0,85
2021-05-21,26940.0,27450.0,25665.0,26280.0,40
2021-05-24,25770.0,27000.0,25080.0,27000.0,63
2021-05-25,26310.0,26700.0,25500.0,26220.0,41
2021-05-26,28140.0,28440.0,26070.0,26070.0,63
2021-05-27,27780.0,28230.0,26700.0,28230.0,55
2021-05-28,28110.0,28212.0,26910.0,27330.0,47
2021-06-01,29610.0,30510.0,28140.0,28320.0,117
2021-06-02,29910.0,31920.0,29340.0,29970.0,125
2021-06-03,30750.0,31260.0,29580.0,30000.0,74
2021-06-04,33000.0,34320.0,30750.0,30750.0,114
2021-06-07,32130.0,34860.0,31800.0,33030.0,95
2021-06-08,32100.0,33090.0,30450.0,32490.0,49
2021-06-09,32310.0,33360.0,31581.0,32100.0,42
2021-06-10,31350.0,32403.0,30960.0,32280.0,40
2021-06-11,32100.0,32727.0,30750.0,32100.0,56
2021-06-14,30390.0,32520.0,29460.0,31815.0,51
2021-06-15,28770.0,30720.0,27900.0,30420.0,114
