Price,Close,High,Low,Open,Volume
Ticker,ALBT,ALBT,ALBT,ALBT,ALBT
Date,,,,,
2018-03-27,337.5,372.0,306.0,306.0,61
2018-03-28,354.0,354.0,345.0,345.0,9
2018-03-29,361.5,375.0,360.0,360.0,18
2018-04-02,369.0,369.0,361.5,361.5,1
2018-04-03,409.5,409.5,375.0,375.0,9
2018-04-04,435.0,439.5,412.5,439.5,13
2018-04-05,456.0,457.5,441.75,442.5,40
2018-04-06,375.0,495.0,375.0,450.0,19
2018-04-09,390.0,390.0,375.0,375.0,12
2018-04-10,369.0,472.5,369.0,472.5,18
2018-04-11,375.0,375.0,375.0,375.0,31
2018-04-12,450.0,450.0,450.0,450.0,7
2018-04-13,361.5,367.5,357.0,367.5,38
2018-04-16,246.0,357.0,225.0,357.0,155
2018-04-17,228.0,246.0,225.0,246.0,22
2018-04-18,225.0,279.0,217.5,279.0,43
2018-04-19,243.0,334.5,241.5,300.0,98
2018-04-20,243.0,243.0,243.0,243.0,0
2018-04-23,277.5,277.5,232.5,240.0,37
2018-04-24,277.5,277.5,277.5,277.5,0
2018-04-25,277.5,277.5,277.5,277.5,0
2018-04-26,277.5,277.5,277.5,277.5,0
2018-04-27,286.5,286.5,276.0,276.0,3
2018-04-30,292.5,292.5,286.5,286.5,10
2018-05-01,330.0,330.0,315.0,330.0,23
2018-05-02,285.0,300.0,285.0,300.0,23
2018-05-03,285.0,285.0,285.0,285.0,0
2018-05-04,285.0,285.0,285.0,285.0,0
2018-05-07,285.0,285.0,285.0,285.0,10
2018-05-08,285.0,285.0,285.0,285.0,0
2018-05-09,285.0,285.0,285.0,285.0,0
2018-05-10,284.25,284.25,284.25,284.25,1
2018-05-11,285.0,285.0,285.0,285.0,3
2018-05-14,285.0,345.0,285.0,345.0,13
2018-05-15,286.5,286.5,286.5,286.5,15
2018-05-16,286.5,286.5,286.5,286.5,0
2018-05-17,286.5,286.5,286.5,286.5,1
2018-05-18,286.5,286.5,286.5,286.5,5
2018-05-21,286.5,286.5,286.5,286.5,3
2018-05-22,286.5,286.5,286.5,286.5,0
2018-05-23,335.70001220703125,342.0,285.0,342.0,6
2018-05-24,330.0,330.0,327.0,327.0,7
2018-05-25,335.25,337.5,335.25,337.5,1
2018-05-29,335.25,335.25,335.25,335.25,0
2018-05-30,337.5,345.0,337.5,337.5,33
2018-05-31,345.0,352.5,337.5,337.5,7
2018-06-01,345.0,345.0,345.0,345.0,3
2018-06-04,379.5,381.0,352.5,352.5,38
2018-06-05,382.5,397.5,378.0,379.5,17
2018-06-06,420.0,435.0,405.0,405.0,35
2018-06-07,447.0,447.0,427.5,427.5,21
2018-06-08,330.0,420.0,330.0,420.0,36
2018-06-11,375.0,450.0,375.0,375.0,407
2018-06-12,375.0,375.0,375.0,375.0,2
2018-06-13,432.0,435.0,423.0,423.0,133
2018-06-14,435.0,435.0,435.0,435.0,50
2018-06-15,442.5,444.0,420.0,420.0,23
2018-06-18,429.0,442.5,429.0,433.5,125
2018-06-19,429.0,429.0,429.0,429.0,2
2018-06-20,435.0,442.5,435.0,442.5,12
2018-06-21,412.5,412.5,412.5,412.5,14
2018-06-22,412.5,412.5,412.5,412.5,3
2018-06-25,412.5,412.5,412.5,412.5,0
2018-06-26,412.5,412.5,412.5,412.5,0
2018-06-27,435.0,435.0,423.0,423.0,32
2018-06-28,412.5,412.5,412.5,412.5,3
2018-06-29,412.5,442.5,412.5,442.5,15
2018-07-02,397.5,435.0,397.5,397.5,67
2018-07-03,406.5,406.5,397.5,397.5,3
2018-07-05,435.0,435.0,435.0,435.0,6
2018-07-06,435.0,435.0,435.0,435.0,0
2018-07-09,432.0,432.0,432.0,432.0,3
2018-07-10,432.0,432.0,432.0,432.0,0
2018-07-11,423.0,432.0,423.0,432.0,15
2018-07-12,394.5,432.0,390.0,432.0,36
2018-07-13,394.5,394.5,394.5,394.5,0
2018-07-16,397.5,420.0,397.5,420.0,2
2018-07-17,390.0,397.5,390.0,397.5,23
2018-07-18,420.0,420.0,420.0,420.0,7
2018-07-19,420.0,420.0,420.0,420.0,0
2018-07-20,420.0,420.0,316.5,405.0,33
2018-07-23,423.0,423.0,390.0,405.0,15
2018-07-24,435.0,435.0,432.0,432.0,10
