Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ALG,ALKS,ALG,ALKS,ALG,ALKS,ALG,ALKS,ALG,ALKS
Date,,,,,,,,,,
1991-07-16,,5.5,,5.625,,5.125,,5.125,,1869200
1991-07-17,,5.375,,5.625,,5.375,,5.625,,104800
1991-07-18,,5.5,,5.625,,5.375,,5.375,,266200
1991-07-19,,5.375,,5.625,,5.25,,5.625,,224800
1991-07-22,,5.375,,5.5,,5.1875,,5.5,,395200
1991-07-23,,5.0,,5.25,,4.875,,5.25,,87800
1991-07-24,,5.0,,5.0,,4.875,,4.875,,117000
1991-07-25,,5.125,,5.125,,5.0,,5.0,,11000
1991-07-26,,5.1875,,5.25,,5.125,,5.125,,7000
1991-07-29,,4.9375,,5.25,,4.9375,,5.25,,43400
1991-07-30,,4.875,,5.125,,4.875,,5.125,,13000
1991-07-31,,4.625,,5.0,,4.5625,,4.875,,493000
1991-08-01,,4.875,,4.875,,4.5625,,4.625,,219000
1991-08-02,,4.625,,4.625,,4.625,,4.625,,30200
1991-08-05,,4.75,,4.875,,4.75,,4.875,,24000
1991-08-06,,4.625,,4.875,,4.625,,4.75,,402800
1991-08-07,,4.875,,4.875,,4.875,,4.875,,1000
1991-08-08,,4.875,,4.875,,4.875,,4.875,,800
1991-08-09,,4.625,,4.75,,4.625,,4.75,,29200
1991-08-12,,4.625,,4.625,,4.625,,4.625,,16000
1991-08-13,,4.875,,4.875,,4.75,,4.75,,4400
1991-08-14,,4.6875,,4.6875,,4.6875,,4.6875,,2000
1991-08-15,,4.8125,,4.875,,4.625,,4.875,,286000
1991-08-16,,4.8125,,4.8125,,4.8125,,4.8125,,2000
1991-08-19,,4.625,,4.625,,4.375,,4.5,,41800
1991-08-20,,4.25,,4.5,,4.25,,4.5,,58200
1991-08-21,,5.0,,5.0,,4.375,,4.5,,285400
1991-08-22,,5.5,,5.75,,5.0,,5.0,,323600
1991-08-23,,6.625,,6.625,,5.625,,5.75,,369800
1991-08-26,,7.25,,7.5,,6.25,,6.625,,303400
1991-08-27,,7.5,,8.0,,7.25,,7.375,,318000
1991-08-28,,7.5,,7.875,,7.25,,7.375,,188800
1991-08-29,,7.625,,7.875,,7.5,,7.875,,150000
1991-08-30,,7.625,,7.625,,7.375,,7.625,,90200
1991-09-03,,7.25,,7.75,,7.0,,7.75,,94200
1991-09-04,,7.375,,7.875,,7.1875,,7.625,,202800
1991-09-05,,7.625,,7.625,,7.25,,7.625,,139600
1991-09-06,,7.5625,,7.75,,7.375,,7.625,,60200
1991-09-09,,7.625,,7.75,,7.625,,7.75,,56600
1991-09-10,,7.5,,7.75,,7.4375,,7.75,,94600
1991-09-11,,7.5,,7.625,,7.375,,7.625,,72400
1991-09-12,,9.25,,9.25,,7.375,,7.625,,370400
1991-09-13,,9.25,,10.0,,8.875,,9.75,,258600
1991-09-16,,9.125,,9.25,,8.75,,9.25,,119200
1991-09-17,,9.0,,9.125,,8.75,,9.125,,61800
1991-09-18,,8.75,,9.0,,8.375,,8.75,,207600
1991-09-19,,8.5,,8.875,,8.5,,8.875,,84200
1991-09-20,,9.0,,9.0,,8.625,,9.0,,90400
1991-09-23,,8.5,,9.0,,8.125,,8.625,,83800
1991-09-24,,8.5,,8.5,,8.125,,8.5,,35000
1991-09-25,,8.75,,8.75,,8.25,,8.625,,52400
1991-09-26,,8.5,,8.75,,8.375,,8.625,,36600
1991-09-27,,8.625,,8.625,,8.25,,8.25,,7800
1991-09-30,,8.5,,8.5625,,8.25,,8.25,,15000
1991-10-01,,8.375,,8.625,,8.375,,8.625,,7400
1991-10-02,,8.5,,8.625,,8.375,,8.375,,7200
1991-10-03,,8.625,,8.625,,8.375,,8.625,,78000
1991-10-04,,8.5,,8.625,,8.4375,,8.4375,,8400
1991-10-07,,8.5,,8.75,,8.375,,8.375,,765600
1991-10-08,,8.375,,8.75,,8.375,,8.75,,30600
1991-10-09,,8.375,,8.75,,8.375,,8.375,,13400
1991-10-10,,8.125,,8.75,,7.375,,8.75,,139200
1991-10-11,,8.125,,8.375,,8.0,,8.375,,7200
1991-10-14,,7.9375,,8.125,,7.75,,8.0,,94400
1991-10-15,,8.125,,8.125,,7.75,,7.75,,38800
1991-10-16,,8.25,,8.25,,7.875,,8.125,,25600
1991-10-17,,9.25,,9.25,,7.875,,8.25,,148000
1991-10-18,,9.625,,9.75,,8.875,,9.25,,209200
1991-10-21,,9.25,,9.625,,9.0,,9.25,,90800
1991-10-22,,9.375,,9.375,,9.0,,9.0,,72600
1991-10-23,,9.75,,10.0,,9.0,,9.375,,164000
1991-10-24,,8.8125,,9.875,,8.75,,9.75,,399600
1991-10-25,,9.0,,9.5,,8.75,,8.75,,1846000
1991-10-28,,9.0625,,9.375,,8.875,,9.125,,516000
1991-10-29,,9.375,,9.375,,9.0,,9.375,,233800
1991-10-30,,9.5,,9.5,,9.125,,9.375,,206000
1991-10-31,,10.375,,10.4375,,9.25,,9.5,,307000
1991-11-01,,10.375,,10.375,,10.125,,10.375,,211600
1991-11-04,,10.25,,10.375,,10.0,,10.375,,306000
1991-11-05,,9.5,,10.25,,9.5,,10.25,,136200
1991-11-06,,8.625,,9.875,,8.375,,9.875,,327600
1991-11-07,,9.0,,9.625,,8.875,,8.875,,194200
1991-11-08,,9.5,,9.5,,9.0,,9.25,,96200
1991-11-11,,9.625,,9.875,,9.25,,9.5,,128600
1991-11-12,,10.125,,10.125,,9.75,,9.875,,192200
1991-11-13,,9.75,,10.125,,9.75,,9.75,,209000
1991-11-14,,9.25,,10.0,,9.0,,9.75,,167400
1991-11-15,,8.0,,9.0,,7.875,,8.875,,171400
1991-11-18,,7.875,,8.0,,7.125,,7.375,,609200
1991-11-19,,6.75,,7.75,,6.5,,7.75,,282000
1991-11-20,,6.5,,7.0,,6.5,,7.0,,685800
1991-11-21,,6.625,,6.625,,6.375,,6.625,,50000
1991-11-22,,6.125,,6.625,,6.0,,6.625,,104200
1991-11-25,,5.875,,6.125,,5.25,,6.125,,561000
1991-11-26,,5.875,,6.0,,5.5,,6.0,,456600
1991-11-27,,5.75,,5.875,,5.5,,5.875,,1068000
1991-11-29,,6.25,,6.375,,5.5,,5.5,,156800
1991-12-02,,6.3125,,6.3125,,5.875,,6.25,,94600
1991-12-03,,6.5,,6.5,,6.25,,6.375,,180400
1991-12-04,,6.375,,6.5,,6.25,,6.5,,179200
1991-12-05,,7.375,,7.625,,6.375,,6.5,,240000
1991-12-06,,7.75,,7.75,,7.125,,7.5,,94600
1991-12-09,,8.125,,8.5,,7.5,,7.875,,337800
1991-12-10,,7.875,,8.25,,7.875,,8.125,,87600
1991-12-11,,7.75,,8.0,,7.625,,7.875,,159000
1991-12-12,,8.0,,8.125,,7.75,,7.75,,94400
1991-12-13,,8.0,,8.125,,7.75,,8.125,,17000
1991-12-16,,8.125,,8.375,,8.0,,8.125,,49800
1991-12-17,,8.125,,8.5,,7.625,,8.5,,41800
1991-12-18,,7.625,,8.0,,7.625,,8.0,,178200
1991-12-19,,7.875,,7.875,,7.625,,7.875,,203000
1991-12-20,,7.6875,,7.875,,7.625,,7.875,,88600
1991-12-23,,7.5,,7.875,,7.5,,7.5,,228800
1991-12-24,,7.75,,7.75,,7.5,,7.75,,119000
1991-12-26,,7.625,,7.75,,7.5,,7.5,,109400
1991-12-27,,7.75,,7.75,,7.5,,7.75,,216200
1991-12-30,,8.0,,8.25,,7.75,,7.75,,77000
1991-12-31,,9.0,,9.375,,8.125,,8.125,,135400
1992-01-02,,9.0,,9.0,,8.625,,8.875,,179600
1992-01-03,,10.75,,10.875,,8.875,,9.125,,276000
1992-01-06,,10.375,,11.25,,9.875,,10.75,,172400
1992-01-07,,11.125,,11.125,,9.875,,10.0,,245400
