Price,Close,High,Low,Open,Volume
Ticker,AUUD,AUUD,AUUD,AUUD,AUUD
Date,,,,,
2021-02-17,83.5,102.25,72.5,100.0,45636
2021-02-18,74.75,85.0,72.75,85.0,16432
2021-02-19,76.75,78.0,69.0,77.75,10368
2021-02-22,76.25,87.5,72.5,76.25,24720
2021-02-23,77.75,80.25,67.5,76.25,11984
2021-02-24,89.75,95.0,75.375,76.25,19504
2021-02-25,92.0,96.25,85.25,94.25,27720
2021-02-26,86.75,114.0,85.5,90.25,257000
2021-03-01,81.75,89.5,81.5,85.0,22640
2021-03-02,85.0,86.5,81.5,83.0,13944
2021-03-03,81.25,92.0,81.25,85.0,16492
2021-03-04,70.0,81.0,67.875,81.0,10808
2021-03-05,74.0,74.75,62.5,71.5,12288
2021-03-08,72.25,75.75,72.25,74.0,2984
2021-03-09,70.25,77.0,69.25,74.0,5304
2021-03-10,78.0,79.75,71.5,73.25,6256
2021-03-11,74.75,78.0,74.75,78.0,2716
2021-03-12,78.3499984741211,79.19999694824219,73.0250015258789,75.5,5448
2021-03-15,79.0,81.5,77.25,80.0,10884
2021-03-16,78.25,82.25,76.25,80.75,5620
2021-03-17,78.0,78.75,75.0,78.5,1764
2021-03-18,80.0,88.0,77.5,78.25,14320
2021-03-19,82.75,84.0,80.0,80.75,4024
2021-03-22,79.5,83.5,79.0,83.5,2224
2021-03-23,77.0,81.0,76.25,81.0,2052
2021-03-24,82.75,85.75,75.625,76.75,7632
2021-03-25,79.0,80.75,76.5,80.75,2724
2021-03-26,78.0,81.0,77.25,78.5,924
2021-03-29,74.0,77.75,70.0,77.25,2716
2021-03-30,72.5,75.625,72.1500015258789,74.25,860
2021-03-31,78.25,82.5,71.625,72.75,6396
2021-04-01,80.25,80.55000305175781,78.5,78.5,968
2021-04-05,79.5,81.0,75.5,81.0,1100
2021-04-06,77.0,80.5,76.25,80.5,968
2021-04-07,75.875,77.5,75.0,76.94999694824219,1012
2021-04-08,76.25,77.25,73.5,74.25,1536
2021-04-09,76.25,80.0,75.0,75.75,1384
2021-04-12,74.0,77.5,73.7249984741211,75.5,1480
2021-04-13,70.5,74.75,70.0,74.75,1832
2021-04-14,68.75,70.5,66.75,70.5,1856
2021-04-15,68.0,70.75,64.75,70.25,1860
2021-04-16,66.0,67.75,60.0,67.5,5244
2021-04-19,63.75,67.5,63.75,65.5,752
2021-04-20,56.75,63.900001525878906,55.25,63.900001525878906,2168
2021-04-21,58.25,59.0,56.25,56.25,2496
2021-04-22,58.5,59.75,57.5,58.25,1876
2021-04-23,58.29999923706055,59.0,56.25,58.75,1740
2021-04-26,59.625,60.20000076293945,57.0,58.75,1872
2021-04-27,70.0,70.0,60.0,60.25,4624
2021-04-28,64.75,71.25,64.25,71.0,2828
2021-04-29,63.25,65.25,61.5,65.25,2144
2021-04-30,70.5,71.25,63.0,65.0,2204
2021-05-03,65.25,69.75,64.25,69.5,1472
2021-05-04,64.75,65.75,61.5,65.25,1140
2021-05-05,66.0,66.0,63.75,64.75,840
2021-05-06,68.75,69.0,63.25,64.6500015258789,1960
2021-05-07,66.75,67.57499694824219,66.0,66.75,156
2021-05-10,65.0,67.75,63.849998474121094,66.25,1204
2021-05-11,62.5,64.75,61.5,64.75,984
2021-05-12,60.0,61.5,59.0,61.5,3360
2021-05-13,60.5,62.0,59.0,59.0,456
2021-05-14,61.75,66.25,59.099998474121094,61.900001525878906,564
2021-05-17,57.5,60.0,56.25,60.0,1108
2021-05-18,56.5,58.20000076293945,55.25,57.0,736
2021-05-19,57.0,57.5,55.5,56.5,440
2021-05-20,62.5,63.75,56.5,56.625,1816
2021-05-21,57.5,62.75,56.25,62.75,916
2021-05-24,59.5,61.0,55.75,56.75,1708
2021-05-25,56.0,58.25,56.0,58.25,1360
2021-05-26,56.25,57.5,55.25,57.0,1108
2021-05-27,58.875,59.25,55.75,57.5,1084
2021-05-28,56.75,59.57500076293945,56.0,58.25,632
2021-06-01,59.25,59.25,57.0,57.25,540
2021-06-02,62.0,63.75,57.75,58.92499923706055,3020
2021-06-03,59.0,61.5,58.25,60.25,716
2021-06-04,61.5,61.5,58.25,58.25,1580
2021-06-07,62.5,64.25,58.75,61.92499923706055,2020
2021-06-08,64.25,66.75,60.474998474121094,61.75,1768
