Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN
Date,,,,,,,,,,
2007-06-29,6250.0,,6312.5,,5375.0,,6250.0,,878,
2007-07-02,6250.0,,6362.5,,5662.5,,6250.0,,168,
2007-07-03,6312.5,,6312.5,,6075.0,,6250.0,,5,
2007-07-05,6125.0,,6312.5,,5975.0,,6312.5,,8,
2007-07-06,6250.0,,6250.0,,6087.5,,6087.5,,19,
2007-07-09,6125.0,,6275.0,,6112.5,,6275.0,,15,
2007-07-10,6112.5,,6225.0,,6062.5,,6062.5,,14,
2007-07-11,6100.0,,6212.5,,6062.5,,6212.5,,9,
2007-07-12,6275.0,,6275.0,,5762.5,,6000.0,,24,
2007-07-13,5925.0,,6125.0,,5750.0,,6125.0,,40,
2007-07-16,5875.0,,6250.0,,5875.0,,6250.0,,7,
2007-07-17,5937.5,,5937.5,,5812.5,,5812.5,,2,
2007-07-18,5812.5,,6237.5,,5812.5,,6237.5,,8,
2007-07-19,5812.5,,5937.5,,5750.0,,5762.5,,25,
2007-07-20,5750.0,,6000.0,,5750.0,,5762.5,,7,
2007-07-23,5775.0,,6062.5,,5762.5,,6062.5,,10,
2007-07-24,5750.0,,5925.0,,5750.0,,5925.0,,21,
2007-07-25,5750.0,,5812.5,,5312.5,,5812.5,,34,
2007-07-26,5387.5,,5512.5,,5387.5,,5512.5,,10,
2007-07-27,5187.5,,5387.5,,4850.0,,5387.5,,35,
2007-07-30,5937.5,,5937.5,,5550.0,,5550.0,,94,
2007-07-31,5850.0,,6062.5,,5625.0,,6025.0,,60,
2007-08-01,5450.0,,6062.5,,5412.5,,5837.5,,25,
2007-08-02,5650.0,,6087.5,,5625.0,,6075.0,,12,
2007-08-03,5887.5,,6000.0,,5437.5,,6000.0,,9,
2007-08-06,5650.0,,5750.0,,5450.0,,5450.0,,2,
2007-08-07,5637.5,,5750.0,,5412.5,,5525.0,,10,
2007-08-08,5312.5,,5612.5,,5012.5,,5612.5,,15,
2007-08-09,4950.0,,5750.0,,4212.5,,5737.5,,262,
2007-08-10,4987.5,,5500.0,,4375.0,,4987.5,,13,
2007-08-13,5087.5,,5312.5,,5075.0,,5237.5,,8,
2007-08-14,5312.5,,5312.5,,5125.0,,5125.0,,7,
2007-08-15,5000.0,,5112.5,,4987.5,,5025.0,,1,
2007-08-16,4850.0,,5000.0,,4850.0,,5000.0,,3,
2007-08-17,4887.5,,4887.5,,4875.0,,4887.5,,2,
2007-08-20,4975.0,,5000.0,,4875.0,,4912.5,,32,
2007-08-21,5000.0,,5000.0,,4975.0,,4975.0,,2,
2007-08-22,5012.5,,5587.5,,5000.0,,5587.5,,5,
2007-08-23,5500.0,,5500.0,,5012.5,,5012.5,,31,
2007-08-24,5037.5,,5475.0,,5000.0,,5425.0,,31,
2007-08-27,5000.0,,5000.0,,4812.5,,4850.0,,2,
2007-08-28,4987.5,,5000.0,,4375.0,,4825.0,,5,
2007-08-29,4687.5,,5112.5,,4600.0,,4875.0,,12,
2007-08-30,4975.0,,4975.0,,4500.0,,4812.5,,20,
2007-08-31,5262.5,,5312.5,,5075.0,,5075.0,,2,
2007-09-04,5200.0,,5300.0,,5000.0,,5000.0,,17,
2007-09-05,5212.5,,5225.0,,4937.5,,5000.0,,5,
2007-09-06,5012.5,,5312.5,,5012.5,,5162.5,,31,
2007-09-07,5562.5,,5625.0,,5062.5,,5062.5,,100,
2007-09-10,5625.0,,5750.0,,5500.0,,5650.0,,22,
2007-09-11,5650.0,,5750.0,,5025.0,,5725.0,,12,
2007-09-12,5600.0,,5750.0,,5212.5,,5212.5,,29,
2007-09-13,5625.0,,5750.0,,5225.0,,5550.0,,9,
2007-09-14,5462.5,,5712.5,,5150.0,,5150.0,,7,
2007-09-17,5562.5,,5725.0,,5000.0,,5487.5,,18,
2007-09-18,5312.5,,5675.0,,5137.5,,5500.0,,16,
2007-09-19,5300.0,,5375.0,,5000.0,,5375.0,,20,
2007-09-20,5487.5,,5612.5,,5000.0,,5125.0,,21,
2007-09-21,5000.0,,5575.0,,5000.0,,5175.0,,28,
2007-09-24,4975.0,,5062.5,,4937.5,,4987.5,,13,
2007-09-25,5000.0,,5000.0,,4375.0,,4687.5,,14,
2007-09-26,5012.5,,5050.0,,4962.5,,4962.5,,2,
2007-09-27,5062.5,,5062.5,,4900.0,,4912.5,,1,
2007-09-28,5050.0,,5050.0,,4950.0,,5000.0,,6,
2007-10-01,4975.0,,5062.5,,4775.0,,4775.0,,5,
2007-10-02,5425.0,,5425.0,,4975.0,,4975.0,,9,
2007-10-03,5000.0,,5475.0,,5000.0,,5450.0,,9,
2007-10-04,5000.0,,5312.5,,4900.0,,5225.0,,5,
2007-10-05,5000.0,,5112.5,,4937.5,,4975.0,,12,
2007-10-08,4937.5,,5087.5,,4937.5,,5087.5,,24,
2007-10-09,4850.0,,4987.5,,4812.5,,4937.5,,10,
2007-10-10,4987.5,,5112.5,,4950.0,,5025.0,,12,
2007-10-11,5000.0,,5250.0,,4987.5,,5100.0,,8,
2007-10-12,4975.0,,5250.0,,4775.0,,5250.0,,7,
2007-10-15,4937.5,,5000.0,,4937.5,,4950.0,,8,
2007-10-16,4625.0,,5237.5,,4550.0,,5237.5,,22,
2007-10-17,4687.5,,5125.0,,4500.0,,4700.0,,14,
2007-10-18,4700.0,,4700.0,,4700.0,,4700.0,,1,
2007-10-19,4687.5,,5212.5,,4625.0,,4950.0,,10,
2007-10-22,4737.5,,5125.0,,4575.0,,4675.0,,23,
2007-10-23,4700.0,,5000.0,,4687.5,,4787.5,,17,
2007-10-24,4400.0,,5100.0,,4400.0,,5100.0,,19,
2007-10-25,4500.0,,5100.0,,4500.0,,5100.0,,8,
2007-10-26,4612.5,,4612.5,,4250.0,,4387.5,,5,
2007-10-29,4375.0,,4562.5,,4262.5,,4525.0,,7,
2007-10-30,4375.0,,4375.0,,4262.5,,4262.5,,2,
2007-10-31,4575.0,,4987.5,,3750.0,,4262.5,,30,
2007-11-01,4525.0,,4750.0,,3937.5,,4350.0,,30,
2007-11-02,4187.5,,4375.0,,4187.5,,4212.5,,2,
2007-11-05,4187.5,,4187.5,,4187.5,,4187.5,,0,
2007-11-06,4250.0,,4250.0,,3750.0,,3937.5,,7,
2007-11-07,3962.5,,3975.0,,3962.5,,3975.0,,0,
2007-11-08,3750.0,,4000.0,,3750.0,,4000.0,,5,
2007-11-09,4187.5,,4187.5,,3750.0,,3750.0,,9,
2007-11-12,3750.0,,3912.5,,3225.0,,3762.5,,9,
2007-11-13,4375.0,,4375.0,,3812.5,,3812.5,,19,
2007-11-14,4237.5,,4450.0,,3950.0,,4450.0,,12,
2007-11-15,4625.0,,4625.0,,3875.0,,3937.5,,24,
2007-11-16,3975.0,,5100.0,,3875.0,,5100.0,,180,
2007-11-19,4237.5,,4237.5,,3937.5,,3937.5,,3,
2007-11-20,4075.0,,4450.0,,4075.0,,4450.0,,9,
2007-11-21,4000.0,,4037.5,,3875.0,,3937.5,,4,
2007-11-23,4125.0,,4962.5,,4000.0,,4000.0,,3,
2007-11-26,4112.5,,4112.5,,3975.0,,4087.5,,9,
2007-11-27,4262.5,,4262.5,,3812.5,,3987.5,,21,
2007-11-28,4750.0,,4762.5,,3737.5,,4375.0,,5,
2007-11-29,4587.5,,4587.5,,3750.0,,4375.0,,3,
2007-11-30,4400.0,,4400.0,,4062.5,,4062.5,,24,
2007-12-03,4150.0,,4150.0,,4125.0,,4137.5,,1,
2007-12-04,4137.5,,4187.5,,4062.5,,4062.5,,4,
2007-12-05,4375.0,,4375.0,,4125.0,,4137.5,,29,
2007-12-06,4337.5,,4337.5,,4062.5,,4087.5,,7,
2007-12-07,4575.0,,4750.0,,4075.0,,4512.5,,9,
2007-12-10,4437.5,,4750.0,,4237.5,,4625.0,,16,
2007-12-11,4637.5,,4687.5,,4412.5,,4575.0,,77,
2007-12-12,4487.5,,4625.0,,4375.0,,4612.5,,34,
2007-12-13,4412.5,,4550.0,,4225.0,,4487.5,,27,
2007-12-14,4500.0,,4687.5,,4287.5,,4687.5,,37,
2007-12-17,4587.5,,4587.5,,4587.5,,4587.5,,0,
2007-12-18,4187.5,,4462.5,,4062.5,,4262.5,,14,
2007-12-19,4125.0,,4200.0,,4037.5,,4200.0,,15,
2007-12-20,4225.0,,4225.0,,4125.0,,4125.0,,5,
2007-12-21,4125.0,,4175.0,,4075.0,,4075.0,,5,
2007-12-24,4125.0,,4125.0,,4062.5,,4062.5,,6,
2007-12-26,4012.5,,4287.5,,3900.0,,4287.5,,17,
2007-12-27,4375.0,,4737.5,,4025.0,,4100.0,,15,
2007-12-28,4462.5,,4462.5,,4125.0,,4250.0,,1,
2007-12-31,4875.0,,4875.0,,4025.0,,4325.0,,9,
2008-01-02,4025.0,,4912.5,,4012.5,,4912.5,,13,
2008-01-03,3900.0,,4225.0,,3900.0,,4225.0,,3,
2008-01-04,4000.0,,4000.0,,3962.5,,3962.5,,0,
2008-01-07,3875.0,,3987.5,,3737.5,,3737.5,,3,
2008-01-08,3750.0,,4175.0,,3550.0,,3925.0,,28,
2008-01-09,3737.5,,3850.0,,3537.5,,3537.5,,3,
2008-01-10,3525.0,,3837.5,,3487.5,,3487.5,,5,
2008-01-11,3725.0,,3737.5,,3387.5,,3725.0,,6,
2008-01-14,3725.0,,3725.0,,3725.0,,3725.0,,0,
2008-01-15,3237.5,,3537.5,,2687.5,,3475.0,,28,
2008-01-16,3525.0,,3525.0,,3125.0,,3237.5,,6,
2008-01-17,3062.5,,3075.0,,3025.0,,3025.0,,4,
2008-01-18,3312.5,,3500.0,,2937.5,,3050.0,,44,
2008-01-22,3075.0,,3200.0,,2950.0,,2950.0,,12,
2008-01-23,3250.0,,3250.0,,3125.0,,3125.0,,22,
2008-01-24,3612.5,,3625.0,,3250.0,,3250.0,,1,
2008-01-25,3500.0,,3500.0,,3500.0,,3500.0,,2,
2008-01-28,3350.0,,3687.5,,3350.0,,3687.5,,4,
2008-01-29,3375.0,,3387.5,,2725.0,,3287.5,,3,
2008-01-30,3312.5,,3437.5,,2625.0,,2962.5,,24,
2008-01-31,3600.0,,3600.0,,3100.0,,3137.5,,7,
2008-02-01,3687.5,,3875.0,,3600.0,,3600.0,,4,
2008-02-04,3437.5,,3787.5,,3437.5,,3750.0,,6,
2008-02-05,3362.5,,3362.5,,2875.0,,3125.0,,3,
2008-02-06,3362.5,,3362.5,,3362.5,,3362.5,,0,
2008-02-07,3312.5,,4125.0,,3312.5,,3600.0,,8,
2008-02-08,3625.0,,3625.0,,3412.5,,3412.5,,2,
2008-02-11,3562.5,,3812.5,,3400.0,,3637.5,,3,
2008-02-12,3462.5,,3575.0,,3450.0,,3575.0,,3,
2008-02-13,3625.0,,3787.5,,3462.5,,3475.0,,12,
2008-02-14,3750.0,,3750.0,,3687.5,,3700.0,,7,
2008-02-15,3900.0,,3962.5,,3812.5,,3850.0,,10,
2008-02-19,4275.0,,4275.0,,3700.0,,3700.0,,15,
2008-02-20,4500.0,,4500.0,,4175.0,,4362.5,,8,
2008-02-21,4562.5,,4625.0,,4537.5,,4587.5,,6,
2008-02-22,4500.0,,4562.5,,4075.0,,4500.0,,3,
2008-02-25,4062.5,,4262.5,,4062.5,,4225.0,,2,
2008-02-26,4525.0,,4537.5,,4150.0,,4537.5,,3,
2008-02-27,4250.0,,4500.0,,4062.5,,4437.5,,4,
2008-02-28,4350.0,,4487.5,,4350.0,,4487.5,,0,
2008-02-29,4325.0,,4362.5,,4062.5,,4362.5,,2,
2008-03-03,3887.5,,4162.5,,3775.0,,4162.5,,5,
2008-03-04,3737.5,,3887.5,,3737.5,,3887.5,,10,
2008-03-05,3912.5,,4162.5,,3825.0,,3825.0,,8,
2008-03-06,3750.0,,3875.0,,3562.5,,3750.0,,12,
2008-03-07,3725.0,,3725.0,,3725.0,,3725.0,,0,
2008-03-10,3750.0,,3750.0,,3562.5,,3675.0,,3,
2008-03-11,3525.0,,3750.0,,3387.5,,3750.0,,3,
2008-03-12,3525.0,,3525.0,,3525.0,,3525.0,,0,
2008-03-13,3775.0,,3775.0,,3200.0,,3200.0,,0,
2008-03-14,3512.5,,3775.0,,3387.5,,3762.5,,2,
2008-03-17,3512.5,,3512.5,,3512.5,,3512.5,,0,
2008-03-18,3200.0,,3200.0,,3200.0,,3200.0,,1,
2008-03-19,3387.5,,3437.5,,3387.5,,3437.5,,0,
2008-03-20,3387.5,,3462.5,,3387.5,,3450.0,,1,
2008-03-24,3562.5,,3687.5,,3562.5,,3687.5,,2,
2008-03-25,3562.5,,3562.5,,3562.5,,3562.5,,0,
2008-03-26,3475.0,,3500.0,,3412.5,,3500.0,,4,
2008-03-27,3287.5,,3487.5,,3162.5,,3375.0,,4,
2008-03-28,3137.5,,3275.0,,2812.5,,3275.0,,6,
2008-03-31,3575.0,,3575.0,,2812.5,,3450.0,,7,
2008-04-01,3037.5,,3050.0,,3037.5,,3037.5,,1,
2008-04-02,2950.0,,2950.0,,2812.5,,2812.5,,1,
2008-04-03,2812.5,,3100.0,,2812.5,,3100.0,,2,
2008-04-04,3212.5,,3212.5,,3100.0,,3100.0,,2,
2008-04-07,3287.5,,3287.5,,3150.0,,3262.5,,3,
2008-04-08,3237.5,,3250.0,,3237.5,,3250.0,,2,
2008-04-09,3250.0,,3250.0,,3237.5,,3237.5,,1,
2008-04-10,3162.5,,3450.0,,2812.5,,3450.0,,6,
2008-04-11,2937.5,,3437.5,,2937.5,,3437.5,,5,
2008-04-14,2937.5,,2975.0,,2937.5,,2975.0,,1,
2008-04-15,3187.5,,3187.5,,3062.5,,3162.5,,2,
2008-04-16,3287.5,,3287.5,,2875.0,,3050.0,,2,
2008-04-17,3125.0,,3312.5,,3100.0,,3312.5,,3,
2008-04-18,3125.0,,3125.0,,3125.0,,3125.0,,0,
2008-04-21,3225.0,,3225.0,,2812.5,,2937.5,,5,
2008-04-22,3125.0,,3125.0,,2687.5,,2862.5,,9,
2008-04-23,3100.0,,3100.0,,2687.5,,2975.0,,7,
2008-04-24,3250.0,,3437.5,,3125.0,,3125.0,,3,
2008-04-25,3125.0,,3137.5,,2837.5,,2900.0,,2,
2008-04-28,3137.5,,3437.5,,3137.5,,3425.0,,1,
2008-04-29,3137.5,,3137.5,,3137.5,,3137.5,,0,
2008-04-30,3412.5,,3412.5,,3250.0,,3250.0,,1,
2008-05-01,4187.5,,5250.0,,3275.0,,3762.5,,189,
2008-05-02,4537.5,,4550.0,,4250.0,,4250.0,,10,
2008-05-05,4162.5,,4625.0,,4162.5,,4550.0,,13,
2008-05-06,4100.0,,4462.5,,3812.5,,4462.5,,11,
2008-05-07,4575.0,,4737.5,,4087.5,,4112.5,,11,
2008-05-08,4212.5,,4562.5,,4200.0,,4562.5,,4,
2008-05-09,3750.0,,4162.5,,3725.0,,4125.0,,20,
2008-05-12,3750.0,,3775.0,,3625.0,,3700.0,,7,
2008-05-13,3750.0,,4000.0,,3625.0,,3625.0,,4,
2008-05-14,3750.0,,3750.0,,3750.0,,3750.0,,0,
2008-05-15,3750.0,,3750.0,,3750.0,,3750.0,,0,
2008-05-16,3625.0,,3750.0,,3600.0,,3750.0,,1,
2008-05-19,3612.5,,3662.5,,3562.5,,3650.0,,2,
2008-05-20,3762.5,,4187.5,,3737.5,,3750.0,,11,
2008-05-21,3587.5,,3762.5,,3575.0,,3762.5,,4,
2008-05-22,3675.0,,3750.0,,3575.0,,3575.0,,5,
2008-05-23,3675.0,,3675.0,,3675.0,,3675.0,,0,
2008-05-27,3650.0,,3675.0,,3325.0,,3675.0,,7,
2008-05-28,3450.0,,3450.0,,3450.0,,3450.0,,0,
2008-05-29,3275.0,,3500.0,,3150.0,,3487.5,,5,
2008-05-30,3825.0,,3825.0,,3250.0,,3800.0,,3,
2008-06-02,3637.5,,3750.0,,3625.0,,3750.0,,2,
2008-06-03,3725.0,,3837.5,,3725.0,,3837.5,,2,
2008-06-04,3812.5,,3812.5,,3750.0,,3800.0,,0,
2008-06-05,3800.0,,3800.0,,3750.0,,3750.0,,0,
2008-06-06,3737.5,,3812.5,,3712.5,,3812.5,,13,
2008-06-09,3687.5,,3825.0,,3675.0,,3825.0,,11,
2008-06-10,3675.0,,3825.0,,3675.0,,3825.0,,1,
2008-06-11,3587.5,,3787.5,,3525.0,,3525.0,,6,
2008-06-12,3375.0,,3575.0,,3375.0,,3575.0,,5,
2008-06-13,3675.0,,3750.0,,3437.5,,3437.5,,9,
2008-06-16,3812.5,,3812.5,,3812.5,,3812.5,,0,
2008-06-17,3737.5,,3737.5,,3387.5,,3625.0,,4,
2008-06-18,3737.5,,3737.5,,3737.5,,3737.5,,0,
2008-06-19,3687.5,,3687.5,,3687.5,,3687.5,,0,
2008-06-20,3612.5,,3612.5,,3362.5,,3362.5,,1,
2008-06-23,3487.5,,3600.0,,3250.0,,3587.5,,3,
2008-06-24,3337.5,,3337.5,,2987.5,,3250.0,,4,
2008-06-25,3125.0,,3325.0,,2937.5,,2937.5,,5,
2008-06-26,3375.0,,3375.0,,3375.0,,3375.0,,0,
2008-06-27,3000.0,,3350.0,,2875.0,,3137.5,,8,
2008-06-30,3300.0,,3312.5,,2850.0,,3125.0,,1,
2008-07-01,2937.5,,3325.0,,2937.5,,3125.0,,12,
2008-07-02,2950.0,,2950.0,,2937.5,,2950.0,,3,
2008-07-03,2875.0,,2875.0,,2875.0,,2875.0,,0,
2008-07-07,2937.5,,2937.5,,2937.5,,2937.5,,3,
2008-07-08,3000.0,,3000.0,,2875.0,,2875.0,,6,
2008-07-09,2875.0,,2875.0,,2875.0,,2875.0,,0,
2008-07-10,3100.0,,3100.0,,3100.0,,3100.0,,1,
2008-07-11,3100.0,,3100.0,,3100.0,,3100.0,,0,
2008-07-14,2637.5,,3050.0,,2625.0,,2812.5,,4,
2008-07-15,2637.5,,2637.5,,2637.5,,2637.5,,0,
2008-07-16,2950.0,,3062.5,,2500.0,,2987.5,,13,
2008-07-17,2875.0,,2875.0,,2875.0,,2875.0,,3,
2008-07-18,2562.5,,2762.5,,2562.5,,2687.5,,5,
2008-07-21,2562.5,,2562.5,,2562.5,,2562.5,,0,
2008-07-22,2625.0,,2650.0,,2625.0,,2625.0,,5,
2008-07-23,2812.5,,2812.5,,2662.5,,2662.5,,5,
2008-07-24,2750.0,,2850.0,,2750.0,,2812.5,,1,
2008-07-25,2937.5,,3125.0,,2850.0,,2862.5,,8,
2008-07-28,2825.0,,2837.5,,2825.0,,2837.5,,1,
2008-07-29,2825.0,,2825.0,,2825.0,,2825.0,,0,
2008-07-30,2737.5,,2775.0,,2562.5,,2775.0,,3,
2008-07-31,3025.0,,3050.0,,2562.5,,2712.5,,15,
2008-08-01,3037.5,,3037.5,,3037.5,,3037.5,,1,
2008-08-04,3000.0,,3000.0,,3000.0,,3000.0,,0,
2008-08-05,2925.0,,2937.5,,2925.0,,2937.5,,11,
2008-08-06,2750.0,,2825.0,,2750.0,,2825.0,,2,
2008-08-07,2737.5,,2987.5,,2737.5,,2750.0,,10,
2008-08-08,2500.0,,2625.0,,2500.0,,2575.0,,13,
2008-08-11,2375.0,,2537.5,,1937.5,,2450.0,,70,
2008-08-12,2500.0,,2500.0,,2487.5,,2487.5,,15,
2008-08-13,2500.0,,2500.0,,2500.0,,2500.0,,7,
2008-08-14,2500.0,,2500.0,,2500.0,,2500.0,,16,
2008-08-15,2262.5,,2562.5,,2125.0,,2500.0,,20,
2008-08-18,2462.5,,2462.5,,2137.5,,2187.5,,8,
2008-08-19,2200.0,,2500.0,,2187.5,,2500.0,,3,
2008-08-20,2037.5,,2200.0,,2037.5,,2200.0,,7,
2008-08-21,1762.5,,2012.5,,1762.5,,2000.0,,78,
2008-08-22,1875.0,,2000.0,,1837.5,,1925.0,,11,
2008-08-25,1700.0,,2000.0,,1625.0,,1837.5,,61,
2008-08-26,1825.0,,1875.0,,1825.0,,1875.0,,8,
2008-08-27,2000.0,,2000.0,,1875.0,,1875.0,,124,
2008-08-28,2050.0,,2100.0,,2050.0,,2100.0,,7,
2008-08-29,2112.5,,2112.5,,2112.5,,2112.5,,0,
2008-09-02,1900.0,,2162.5,,1887.5,,2162.5,,5,
2008-09-03,2187.5,,2187.5,,1937.5,,1937.5,,9,
2008-09-04,2162.5,,2187.5,,2162.5,,2187.5,,2,
2008-09-05,1975.0,,2162.5,,1887.5,,1887.5,,14,
2008-09-08,2075.0,,2087.5,,2000.0,,2012.5,,10,
2008-09-09,2162.5,,2162.5,,2125.0,,2162.5,,3,
2008-09-10,2062.5,,2100.0,,2062.5,,2100.0,,3,
2008-09-11,1975.0,,1975.0,,1912.5,,1925.0,,2,
2008-09-12,2037.5,,2037.5,,2037.5,,2037.5,,1,
2008-09-15,1925.0,,1950.0,,1925.0,,1950.0,,1,
2008-09-16,2000.0,,2062.5,,1375.0,,1937.5,,44,
2008-09-17,1950.0,,1987.5,,1812.5,,1987.5,,2,
2008-09-18,1662.5,,1850.0,,1550.0,,1850.0,,11,
2008-09-19,1712.5,,1712.5,,1562.5,,1562.5,,4,
2008-09-22,1662.5,,1887.5,,1637.5,,1887.5,,1,
2008-09-23,1687.5,,1687.5,,1687.5,,1687.5,,1,
2008-09-24,1475.0,,1712.5,,1475.0,,1712.5,,3,
2008-09-25,1612.5,,1612.5,,1612.5,,1612.5,,2,
2008-09-26,1825.0,,1875.0,,1825.0,,1875.0,,2,
2008-09-29,1675.0,,1700.0,,1375.0,,1562.5,,8,
2008-09-30,1600.0,,1625.0,,1375.0,,1500.0,,35,
2008-10-01,1612.5,,1612.5,,1612.5,,1612.5,,0,
2008-10-02,1550.0,,1550.0,,1550.0,,1550.0,,0,
2008-10-03,1337.5,,1500.0,,1262.5,,1500.0,,7,
2008-10-06,1250.0,,1425.0,,1250.0,,1337.5,,3,
2008-10-07,1200.0,,1425.0,,1125.0,,1300.0,,5,
2008-10-08,1125.0,,1450.0,,1125.0,,1175.0,,15,
2008-10-09,1325.0,,1387.5,,1187.5,,1387.5,,8,
2008-10-10,1162.5,,1212.5,,862.5,,1137.5,,22,
2008-10-13,1750.0,,2000.0,,1037.5,,1037.5,,25,
2008-10-14,1750.0,,2050.0,,1562.5,,2050.0,,4,
2008-10-15,1625.0,,1737.5,,1625.0,,1625.0,,1,
2008-10-16,1525.0,,1525.0,,1312.5,,1312.5,,1,
2008-10-17,1675.0,,1675.0,,1262.5,,1512.5,,7,
2008-10-20,1325.0,,1550.0,,1050.0,,1550.0,,17,
2008-10-21,1512.5,,1512.5,,1187.5,,1187.5,,10,
2008-10-22,1400.0,,1400.0,,1250.0,,1375.0,,1,
2008-10-23,1475.0,,1475.0,,1462.5,,1462.5,,2,
