Price,Close,High,Low,Open,Volume
Ticker,FRGT,FRGT,FRGT,FRGT,FRGT
Date,,,,,
2017-08-08,67731.28125,71585.90625,63325.9921875,71585.90625,28
2017-08-09,65969.1640625,68072.6875,65528.6328125,67951.5390625,18
2017-08-10,61288.546875,64867.83984375,59526.43359375,62995.59375,10
2017-08-11,66574.890625,66905.2890625,61123.34765625,61123.34765625,12
2017-08-14,67505.5078125,72164.09375,66629.953125,66905.2890625,14
2017-08-15,72599.1171875,73072.6875,66189.4296875,67731.28125,28
2017-08-16,70837.0078125,72824.890625,70484.578125,70759.9140625,18
2017-08-17,70980.1796875,71475.7734375,70264.3203125,71475.7734375,10
2017-08-18,71035.2421875,71420.703125,70418.5,71420.703125,11
2017-08-21,70539.6484375,71090.3046875,70005.5078125,71035.2421875,8
2017-08-22,68832.6015625,70814.9765625,66431.71875,70814.9765625,10
2017-08-23,69052.8671875,69933.921875,67345.8125,69383.2578125,5
2017-08-24,68942.734375,69218.0625,66740.0859375,69190.53125,17
2017-08-25,68832.6015625,70214.7578125,67180.6171875,69107.9296875,21
2017-08-28,68116.7421875,68942.734375,67731.28125,67841.40625,13
2017-08-29,67951.5390625,68722.46875,67180.6171875,67951.5390625,13
2017-08-30,68226.875,68777.53125,67566.078125,68281.9375,15
2017-08-31,68281.9375,68667.3984375,68226.875,68612.3359375,12
2017-09-01,68006.609375,68612.3359375,67731.28125,68612.3359375,11
2017-09-05,67841.40625,68171.8046875,67455.9453125,67731.28125,13
2017-09-06,69878.8515625,74234.578125,67786.34375,68061.671875,24
2017-09-07,69933.921875,70374.453125,68061.671875,70374.453125,14
2017-09-08,70099.1171875,70099.1171875,68061.671875,70099.1171875,11
2017-09-11,70319.3828125,70374.453125,68832.6015625,69383.2578125,11
2017-09-12,70539.6484375,71145.375,69933.921875,70484.578125,13
2017-09-13,75000.0,75159.6953125,70412.9921875,70649.78125,34
2017-09-14,75440.53125,75991.1875,74669.6015625,75550.6640625,20
2017-09-15,78524.2265625,78524.2265625,75825.9921875,75936.125,31
2017-09-18,81057.265625,81057.265625,77918.5,78193.8359375,32
2017-09-19,82709.25,82929.515625,80947.1328125,81112.3359375,31
2017-09-20,82599.1171875,83480.1796875,80121.1484375,83480.1796875,30
2017-09-21,82819.3828125,83204.84375,81773.125,83094.7109375,24
2017-09-22,82378.8515625,83425.109375,81167.3984375,82599.1171875,33
2017-09-25,87995.59375,91574.890625,82544.0546875,82599.1171875,39
2017-09-26,99779.734375,104322.6875,89372.25,89372.25,45
2017-09-27,110352.421875,110352.421875,96420.703125,96420.703125,43
2017-09-28,110352.421875,110407.4921875,107213.65625,109306.1640625,44
2017-09-29,109911.890625,110022.0234375,107268.71875,109526.4296875,27
2017-10-02,115914.09375,117345.8125,108535.2421875,109636.5625,32
2017-10-03,114812.7734375,117841.40625,101635.4609375,115308.3671875,32
2017-10-04,127753.3046875,128138.765625,107103.5234375,115638.765625,57
2017-10-05,127257.7109375,128028.6328125,110022.0234375,126762.1171875,53
2017-10-06,126101.3203125,136288.546875,121310.5703125,125330.3984375,31
2017-10-09,130341.40625,132048.453125,124118.9453125,126707.046875,41
2017-10-10,129460.3515625,131277.53125,123898.6796875,129680.6171875,44
2017-10-11,129295.15625,130137.6640625,124174.0078125,129129.953125,33
2017-10-12,125550.6640625,129955.9453125,121696.0390625,129240.0859375,28
2017-10-13,124174.0078125,126707.046875,123348.015625,125055.0625,15
2017-10-16,126101.3203125,126376.6484375,122246.6953125,125165.1953125,27
2017-10-17,123678.4140625,126541.8515625,123127.75,126541.8515625,24
2017-10-18,159140.96875,165198.234375,115726.875,124559.46875,61
2017-10-19,160820.484375,168667.40625,140528.640625,159691.625,53
2017-10-20,162500.0,165748.90625,152533.046875,160242.296875,54
2017-10-23,173292.953125,181718.0625,158920.703125,162500.0,72
2017-10-24,176817.1875,183920.703125,167896.46875,170759.90625,68
2017-10-25,181773.125,185407.484375,173458.15625,174669.609375,86
2017-10-26,205671.8125,211508.8125,182819.390625,182819.390625,82
2017-10-27,221035.25,230611.234375,195704.84375,208425.109375,98
2017-10-30,227422.90625,234030.84375,209251.09375,221090.3125,116
2017-10-31,227973.5625,238436.125,215473.5625,227422.90625,108
2017-11-01,166299.5625,227753.296875,165198.234375,227698.234375,121
2017-11-02,208645.375,208645.375,181718.0625,181718.0625,40
2017-11-03,214482.375,218942.734375,201266.515625,206883.265625,55
2017-11-06,222356.828125,224559.46875,210352.421875,211894.265625,93
2017-11-07,262665.1875,264317.1875,222191.625,223127.75,80
2017-11-08,266740.09375,267070.5,255396.46875,260517.625,75
2017-11-09,265583.6875,265969.15625,231613.4375,263601.3125,69
2017-11-10,271475.78125,272522.03125,261453.75,261453.75,57
2017-11-13,266574.875,271475.78125,264867.84375,264867.84375,62
2017-11-14,274174.0,279019.8125,258700.4375,263931.71875,63
2017-11-15,303964.75,307544.0625,273072.6875,278193.84375,72
2017-11-16,316850.21875,321640.96875,301101.3125,304845.8125,62
2017-11-17,325440.53125,325881.0625,314977.96875,316850.21875,65
2017-11-20,333810.5625,342235.6875,322466.96875,324889.875,85
2017-11-21,328083.6875,339922.90625,307268.71875,324834.8125,110
2017-11-22,323017.625,330121.15625,321310.5625,328193.84375,52
2017-11-24,326541.84375,335903.09375,318337.0,320484.59375,39
2017-11-27,322026.4375,332433.90625,317731.28125,329185.03125,57
2017-11-28,335903.09375,363986.78125,326266.53125,326266.53125,92
2017-11-29,320099.125,346365.625,303138.78125,344163.0,49
2017-11-30,320154.1875,327367.84375,285958.15625,323678.40625,87
2017-12-01,323733.46875,324339.21875,300165.1875,312500.0,37
2017-12-04,321310.5625,325936.125,314096.90625,324944.9375,29
2017-12-05,324889.875,326101.3125,316079.28125,316464.75,34
2017-12-06,322301.75,335903.09375,320594.71875,324834.8125,45
2017-12-07,318997.8125,338182.8125,317180.625,322852.4375,31
2017-12-08,316685.03125,327643.15625,312114.53125,319933.90625,45
2017-12-11,307048.46875,322136.5625,302973.5625,315748.90625,37
2017-12-12,281277.53125,312114.53125,278524.21875,304790.75,39
2017-12-13,276431.71875,284691.625,264427.3125,284691.625,56
2017-12-14,263326.0,275881.0625,259471.359375,275881.0625,15
2017-12-15,236508.8125,258182.8125,224174.015625,257764.3125,51
2017-12-18,230781.9375,248182.8125,227202.640625,245044.046875,33
