Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,CANF,CAPL,CANF,CAPL,CANF,CAPL,CANF,CAPL,CANF,CAPL
Date,,,,,,,,,,
2012-10-25,,6.0505051612854,,6.475206989513539,,6.014615187328572,,6.403426471139032,,2734400
2012-10-26,,6.2329487800598145,,6.436327236948134,,6.014616259766568,,6.436327236948134,,302200
2012-10-31,,6.2329487800598145,,6.322674301411272,,6.08340586416675,,6.229957853286638,,102000
2012-11-01,,6.206031322479248,,6.289775564967813,,6.191077258320317,,6.277811857271883,,82700
2012-11-02,,6.152194499969482,,6.265847417612904,,6.107331746356915,,6.250892786101474,,124200
2012-11-05,,6.104341983795166,,6.217994923105548,,6.062470148502379,,6.217994923105548,,91200
2012-11-06,825.0,6.062469005584717,825.0,6.1462126603826475,825.0,6.02956938665075,825.0,6.1462126603826475,1.0,83200
2012-11-07,825.0,5.981718063354492,825.0,6.050507684172407,825.0,5.838156966744646,825.0,6.041535472172472,0.0,99300
2012-11-08,825.0,5.894981861114502,825.0,5.984707958869571,825.0,5.850119097467463,825.0,5.862082805352535,0.0,37900
2012-11-09,825.0,5.859094619750977,825.0,5.9966739020343445,825.0,5.85012183463896,825.0,5.9966739020343445,0.0,23100
2012-11-12,750.0,5.936855316162109,750.0,6.002654009761122,750.0,5.880028834599589,750.0,5.880028834599589,10.0,48700
2012-11-13,750.0,5.8770365715026855,765.0,5.936853966970478,750.0,5.850118800588275,750.0,5.9009634155976105,3.0,18600
2012-11-14,750.0,5.826192378997803,756.0,5.921899762318021,712.5,5.757402768544021,750.0,5.921899762318021,13.0,67000
2012-11-15,750.0,5.754410743713379,750.0,5.826191267509656,750.0,5.688612072848681,750.0,5.826191267509656,0.0,43500
2012-11-16,712.5,5.799274921417236,712.5,5.799274921417236,712.5,5.757403081553469,712.5,5.7723571470873765,1.0,45400
2012-11-19,732.0,5.856101989746094,732.0,5.883019766799264,727.5,5.682632187881829,727.5,5.682632187881829,9.0,40800
2012-11-20,732.0,5.868062973022461,732.0,5.891989811455892,732.0,5.8172183700438165,732.0,5.88899888534411,0.0,10000
2012-11-21,727.5,5.92488956451416,727.5,5.927880490982715,727.5,5.874044955470517,727.5,5.8889995878132915,3.0,11700
2012-11-23,727.5,5.951808452606201,727.5,5.960781233700852,727.5,5.862082923503691,727.5,5.9488175255746505,0.0,12200
2012-11-26,727.5,5.90395450592041,727.5,5.987698747802329,727.5,5.811238053792519,727.5,5.960780976142462,0.0,10200
2012-11-27,750.0,5.874044418334961,750.0,5.903953109824697,750.0,5.8261907401357185,750.0,5.903953109824697,1.0,15900
2012-11-28,750.0,5.847128868103027,750.0,5.921900339922559,750.0,5.712540561104503,750.0,5.727494627283987,0.0,17900
2012-11-29,750.0,5.820209980010986,750.0,5.871054593947178,750.0,5.7723562928311525,750.0,5.832173687036419,0.0,15500
2012-11-30,750.0,5.787311553955078,750.0,5.921899849814817,750.0,5.682631387979051,750.0,5.921899849814817,0.0,38400
2012-12-03,750.0,5.79030179977417,750.0,5.85610047642217,750.0,5.772356239402125,750.0,5.784319946316822,0.0,34700
2012-12-04,750.0,5.6527228355407715,750.0,5.784320778224277,720.0,5.5929060037471965,720.0,5.667677471334934,3.0,133700
2012-12-05,750.0,5.5779500007629395,750.0,5.787310286877513,750.0,5.503178551502147,750.0,5.787310286877513,0.0,81300
2012-12-06,750.0,5.5121541023254395,750.0,5.607861514227806,750.0,4.982771838471653,750.0,5.3865379815882894,0.0,245800
2012-12-07,750.0,5.518133640289307,750.0,5.577950462371607,750.0,5.5121517869427965,750.0,5.5629963994662655,0.0,40800
2012-12-10,750.0,5.562997341156006,750.0,5.577951406592733,750.0,5.443363106279098,750.0,5.53009771264197,0.0,53300
2012-12-11,750.0,5.5779500007629395,750.0,5.583931853614415,750.0,5.416443966999289,750.0,5.503178551502147,0.0,129400
2012-12-12,750.0,5.766373634338379,750.0,5.787309546178139,750.0,5.500186921124948,750.0,5.589912991030676,0.0,137700
2012-12-13,750.0,5.739457607269287,750.0,5.784320370567972,750.0,5.715530762145923,750.0,5.736466680321243,0.0,125100
2012-12-14,750.0,5.781327247619629,750.0,5.781327247619629,750.0,5.652720290009208,750.0,5.727491723925893,0.0,28300
2012-12-17,750.0,5.6168317794799805,750.0,5.808246517456075,750.0,5.607858999714507,750.0,5.7723559688550985,0.0,19400
2012-12-18,750.0,5.676650047302246,750.0,5.739458380753628,750.0,5.554024878211666,750.0,5.610851356960809,0.0,33900
2012-12-19,750.0,5.781327247619629,750.0,5.924888263829079,750.0,5.592903485152322,750.0,5.658702141633127,0.0,31000
2012-12-20,711.0,5.68263053894043,727.5,5.706557381549111,711.0,5.592905021773109,727.5,5.655712769698049,3.0,44500
2012-12-21,711.0,5.697584629058838,711.0,5.72749332507881,711.0,5.5809413420879705,711.0,5.670666859686957,0.0,19700
2012-12-24,711.0,5.622812747955322,711.0,5.709547902791467,711.0,5.542060016422737,711.0,5.565986857332556,0.0,57000
2012-12-26,711.0,5.524116516113281,711.0,5.613842630801623,711.0,5.473271888928218,711.0,5.533089298720445,0.0,119200
2012-12-27,711.0,5.380553245544434,711.0,5.562995758360941,711.0,5.293818663859464,711.0,5.560004832032374,0.0,164000
2012-12-28,711.0,5.473270893096924,711.0,5.524115511031091,711.0,5.323727966285959,711.0,5.347654811757273,0.0,131300
2012-12-31,711.0,5.557013034820557,711.0,5.586921722958132,711.0,5.407470164593458,711.0,5.437378852731033,0.0,135300
2013-01-02,750.0,5.8232011795043945,750.0,5.9338631928288486,727.5,5.604868650212905,727.5,5.604868650212905,1.0,89000
