Price,Close,High,Low,Open,Volume
Ticker,CGEN,CGEN,CGEN,CGEN,CGEN
Date,,,,,
2000-08-11,11.125,14.0,10.1875,10.28125,4477200
2000-08-14,12.0625,12.25,11.0,11.375,837800
2000-08-15,11.5,12.8125,11.4375,12.75,337800
2000-08-16,10.25,12.5,10.0625,12.5,217600
2000-08-17,10.6875,10.75,10.4375,10.71875,102400
2000-08-18,10.25,11.0,10.25,10.875,118900
2000-08-21,11.5625,11.625,10.5625,10.625,282900
2000-08-22,12.375,13.0,11.5,11.8125,286700
2000-08-23,12.5,12.875,12.375,12.625,129700
2000-08-24,12.375,13.25,12.3125,13.09375,233600
2000-08-25,12.875,13.1875,12.25,13.125,116800
2000-08-28,13.0,13.5,12.5,13.15625,198500
2000-08-29,13.0,13.5,13.0,13.1875,148200
2000-08-30,13.125,13.25,12.9375,13.25,69400
2000-08-31,15.75,16.0625,13.1875,13.25,572600
2000-09-01,18.25,19.5,16.4375,16.625,408800
2000-09-05,18.359375,19.3125,16.5,19.28125,343000
2000-09-06,16.4375,19.375,16.375,18.375,182200
2000-09-07,15.5,17.875,15.5,17.75,243100
2000-09-08,15.375,16.9375,14.625,16.53125,239000
2000-09-11,16.125,16.4375,15.0,15.3125,134600
2000-09-12,16.8125,16.9375,15.9375,16.28125,168500
2000-09-13,16.9375,17.5,16.3125,17.25,170200
2000-09-14,17.0625,17.5625,16.375,17.53125,78400
2000-09-15,16.25,17.375,15.953125,16.75,74100
2000-09-18,15.6875,16.9375,15.625,16.375,32000
2000-09-19,14.75,16.125,14.5,16.0625,151100
2000-09-20,14.5625,15.0,14.375,14.84375,130200
2000-09-21,14.25,14.9375,14.25,14.78125,71600
2000-09-22,14.0625,14.375,13.8125,13.90625,132100
2000-09-25,14.75,15.5,14.0,15.4375,107200
2000-09-26,13.6875,15.25,13.4375,14.25,70200
2000-09-27,14.375,15.0,14.0,14.125,65200
2000-09-28,14.75,14.875,14.25,14.625,52100
2000-09-29,13.75,14.5625,13.4375,14.5,139800
