Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AVLV,CURV,AVLV,CURV,AVLV,CURV,AVLV,CURV,AVLV,CURV
Date,,,,,,,,,,
2021-07-01,,24.149999618530273,,26.350000381469727,,22.209999084472656,,23.25,,5959000
2021-07-02,,26.579999923706055,,27.65999984741211,,24.5,,24.510000228881836,,1145100
2021-07-06,,27.0,,28.1200008392334,,24.75,,27.0,,688500
2021-07-07,,27.0,,28.979999542236328,,26.149999618530273,,27.5,,457800
2021-07-08,,24.799999237060547,,26.75,,24.760000228881836,,26.170000076293945,,425500
2021-07-09,,24.399999618530273,,25.329999923706055,,23.950000762939453,,25.149999618530273,,433800
2021-07-12,,23.5,,25.150999069213867,,23.139999389648438,,24.399999618530273,,481600
2021-07-13,,23.5,,23.809999465942383,,22.8700008392334,,23.5,,269700
2021-07-14,,23.229999542236328,,23.959999084472656,,23.0,,23.5,,495300
2021-07-15,,22.540000915527344,,22.989999771118164,,21.6299991607666,,22.989999771118164,,808000
2021-07-16,,22.899999618530273,,23.450000762939453,,22.010000228881836,,22.530000686645508,,450000
2021-07-19,,22.709999084472656,,23.260000228881836,,22.0,,22.600000381469727,,339800
2021-07-20,,23.850000381469727,,23.850000381469727,,22.299999237060547,,22.6200008392334,,223800
2021-07-21,,23.5,,24.18000030517578,,23.209999084472656,,23.690000534057617,,268500
2021-07-22,,22.729999542236328,,23.530000686645508,,22.459999084472656,,23.030000686645508,,531900
2021-07-23,,22.479999542236328,,23.25,,22.09000015258789,,22.540000915527344,,519400
2021-07-26,,23.469999313354492,,23.799999237060547,,23.0,,23.0,,239400
2021-07-27,,23.3799991607666,,23.584999084472656,,22.722000122070312,,23.280000686645508,,144100
2021-07-28,,22.969999313354492,,23.530000686645508,,22.59000015258789,,23.280000686645508,,121400
2021-07-29,,23.110000610351562,,23.59000015258789,,22.8700008392334,,23.219999313354492,,199300
2021-07-30,,23.350000381469727,,23.469999313354492,,22.75,,23.030000686645508,,107400
2021-08-02,,24.59000015258789,,25.0,,23.049999237060547,,23.139999389648438,,478700
2021-08-03,,24.780000686645508,,25.209999084472656,,24.139999389648438,,24.780000686645508,,139800
2021-08-04,,24.579999923706055,,24.950000762939453,,24.28700065612793,,24.649999618530273,,132900
2021-08-05,,26.649999618530273,,26.809999465942383,,24.450000762939453,,24.639999389648438,,186400
2021-08-06,,27.729999542236328,,28.5,,26.5,,26.5,,293100
2021-08-09,,27.809999465942383,,28.25,,26.625,,27.530000686645508,,399100
2021-08-10,,29.719999313354492,,30.010000228881836,,28.149999618530273,,28.299999237060547,,514800
2021-08-11,,30.059999465942383,,30.170000076293945,,28.90999984741211,,29.670000076293945,,185100
2021-08-12,,30.030000686645508,,30.43000030517578,,29.51099967956543,,29.8799991607666,,126800
2021-08-13,,29.649999618530273,,30.5,,29.059999465942383,,30.15999984741211,,251300
2021-08-16,,30.639999389648438,,30.690000534057617,,29.219999313354492,,29.399999618530273,,143000
2021-08-17,,27.920000076293945,,30.56599998474121,,27.56999969482422,,30.489999771118164,,301100
2021-08-18,,29.18000030517578,,29.860000610351562,,28.0,,28.0,,232300
2021-08-19,,29.920000076293945,,30.030000686645508,,29.040000915527344,,29.040000915527344,,178200
2021-08-20,,29.649999618530273,,29.90999984741211,,28.709999084472656,,29.799999237060547,,134700
2021-08-23,,28.690000534057617,,30.760000228881836,,28.56999969482422,,29.6200008392334,,270100
2021-08-24,,31.15999984741211,,33.189998626708984,,28.719999313354492,,28.719999313354492,,717100
2021-08-25,,28.0,,31.43000030517578,,27.1299991607666,,31.43000030517578,,361900
2021-08-26,,26.40999984741211,,28.010000228881836,,26.06999969482422,,28.010000228881836,,248400
2021-08-27,,24.450000762939453,,26.959999084472656,,24.139999389648438,,26.290000915527344,,473100
2021-08-30,,23.84000015258789,,24.989999771118164,,23.110000610351562,,24.989999771118164,,285400
2021-08-31,,23.110000610351562,,23.950000762939453,,22.690000534057617,,23.799999237060547,,335600
2021-09-01,,22.959999084472656,,23.549999237060547,,22.860000610351562,,23.209999084472656,,281900
2021-09-02,,22.06999969482422,,23.06999969482422,,21.729999542236328,,22.959999084472656,,719300
2021-09-03,,21.0,,23.030000686645508,,20.700000762939453,,22.100000381469727,,1188600
2021-09-07,,20.200000762939453,,21.149999618530273,,19.959999084472656,,21.1200008392334,,600800
2021-09-08,,18.459999084472656,,20.209999084472656,,18.260000228881836,,20.209999084472656,,1094200
2021-09-09,,24.440000534057617,,25.020000457763672,,21.0,,21.93000030517578,,6531600
2021-09-10,,23.170000076293945,,24.81999969482422,,23.020000457763672,,24.479999542236328,,1095400
2021-09-13,,19.959999084472656,,23.170000076293945,,19.93000030517578,,23.170000076293945,,1356000
2021-09-14,,20.34000015258789,,20.670000076293945,,19.030000686645508,,19.93000030517578,,1234900
2021-09-15,,19.450000762939453,,20.34000015258789,,18.81999969482422,,20.170000076293945,,473100
2021-09-16,,18.68000030517578,,19.43000030517578,,18.299999237060547,,19.149999618530273,,629500
2021-09-17,,17.34000015258789,,19.290000915527344,,17.239999771118164,,18.940000534057617,,2649900
2021-09-20,,18.549999237060547,,18.549999237060547,,16.6299991607666,,16.899999618530273,,964300
2021-09-21,,18.010000228881836,,18.98900032043457,,17.299999237060547,,18.5,,1056500
2021-09-22,,18.399999618530273,,18.559999465942383,,18.0,,18.049999237060547,,763500
2021-09-23,48.37124252319336,18.170000076293945,48.45510945990358,19.0,48.211039778465924,18.030000686645508,48.211039778465924,18.299999237060547,30100.0,426400
2021-09-24,48.38819122314453,17.0,48.42777008090217,18.040000915527344,48.33259389216544,16.899999618530273,48.399500495306704,18.0,8400.0,461300
2021-09-27,48.58986282348633,17.040000915527344,48.696348298314284,17.600000381469727,48.58986282348633,16.55500030517578,48.696348298314284,17.0,1000.0,465000
2021-09-28,47.762474060058594,17.290000915527344,48.38066287333171,17.530000686645508,47.72572431017582,16.75,48.38066287333171,17.030000686645508,13500.0,326600
2021-09-29,47.773780822753906,17.5,48.02821791658102,17.79400062561035,47.73043459749829,17.0,47.843516552040164,17.530000686645508,5500.0,422000
2021-09-30,47.06135940551758,15.430000305175781,47.73043634856188,17.399999618530273,47.056650203563024,15.230999946594238,47.73043634856188,16.84000015258789,38200.0,936000
2021-10-01,47.430763244628906,15.260000228881836,47.664469062448376,15.664999961853027,46.759802656144466,13.819999694824219,47.012356065221354,15.59000015258789,12200.0,918700
2021-10-04,47.050994873046875,15.210000038146973,47.54196332027557,15.600000381469727,47.004819530898104,14.770000457763672,47.513690134911606,15.039999961853027,13000.0,239200
2021-10-05,47.550445556640625,15.210000038146973,47.85294169217591,15.770000457763672,47.457153027888765,15.079999923706055,47.56081299086228,15.180000305175781,9800.0,235900
2021-10-06,47.395896911621094,14.430000305175781,47.395896911621094,15.199999809265137,46.872891495442886,14.26099967956543,47.362914523306955,15.119999885559082,20500.0,335100
2021-10-07,47.87839126586914,14.619999885559082,48.21104430707569,15.11400032043457,47.87839126586914,14.479999542236328,48.21104430707569,14.479999542236328,4800.0,350100
2021-10-08,47.956600189208984,14.75,48.10737733215856,14.770000457763672,47.93775259698896,14.1899995803833,47.93775259698896,14.520000457763672,12500.0,430000
2021-10-11,47.58908462524414,13.989999771118164,48.25815802157711,14.970000267028809,47.58908462524414,13.96500015258789,48.248736022180005,14.75,16700.0,242800
2021-10-12,47.486358642578125,13.59000015258789,47.73043188379806,14.100000381469727,47.486358642578125,13.35099983215332,47.72100629114932,14.010000228881836,16500.0,412100
2021-10-13,47.559871673583984,14.029999732971191,47.6456258851228,14.319999694824219,47.22156402957152,13.609999656677246,47.23098602866786,13.739999771118164,36500.0,296500
2021-10-14,48.337318420410156,13.970000267028809,48.337318420410156,14.489999771118164,47.98016674713097,13.65999984741211,47.98016674713097,14.229999542236328,12200.0,264500
2021-10-15,48.74629211425781,13.699999809265137,48.964917689610424,14.1899995803833,48.62566825611031,13.359999656677246,48.964917689610424,14.140000343322754,21100.0,384400
2021-10-18,48.984718322753906,13.90999984741211,49.002624076735145,14.140000343322754,48.62567937668199,13.260000228881836,48.62567937668199,13.600000381469727,38800.0,346800
2021-10-19,49.30794143676758,14.4399995803833,49.37484804981247,14.760000228881836,49.012038205187004,13.420000076293945,49.012038205187004,13.779999732971191,4200.0,1205300
2021-10-20,49.70938491821289,15.0600004196167,49.76592769282037,15.399999618530273,49.42667823479653,14.170000076293945,49.42667823479653,14.3100004196167,9300.0,434300
2021-10-21,49.76593017578125,15.640000343322754,49.76593017578125,15.949999809265137,49.59630543830628,15.039999961853027,49.59630543830628,15.039999961853027,9200.0,837200
2021-10-22,49.8545036315918,15.119999885559082,49.95439262381422,15.769000053405762,49.83094684006937,14.600000381469727,49.95439262381422,15.520000457763672,12500.0,327800
2021-10-25,50.152286529541016,15.279999732971191,50.20882570054157,15.529999732971191,50.140035417208246,14.949999809265137,50.20882570054157,15.329999923706055,4500.0,351900
2021-10-26,50.118377685546875,15.210000038146973,50.369047473535865,15.680000305175781,50.04016537570941,14.989999771118164,50.32193028159581,15.4399995803833,21800.0,153100
2021-10-27,49.34658432006836,13.8100004196167,49.83189817457971,15.319999694824219,49.34658432006836,13.779999732971191,49.728238206662546,15.319999694824219,9500.0,547500
2021-10-28,50.00434494018555,14.539999961853027,50.00434494018555,14.859999656677246,49.85074227481118,13.829999923706055,49.916707050715594,13.850000381469727,16500.0,282400
2021-10-29,50.048641204833984,15.039999961853027,50.10518039234511,15.119999885559082,49.93555923500073,14.140000343322754,50.020371611078424,14.140000343322754,10700.0,405200
