Price,Close,High,Low,Open,Volume
Ticker,CVV,CVV,CVV,CVV,CVV
Date,,,,,
1999-03-01,1.0,1.0,1.0,1.0,5000
1999-03-02,1.0,1.0,1.0,1.0,10000
1999-03-03,1.125,1.125,1.125,1.125,600
1999-03-04,1.125,1.125,1.125,1.125,0
1999-03-05,1.125,1.125,1.125,1.125,0
1999-03-08,1.125,1.125,1.125,1.125,200
1999-03-09,1.125,1.125,1.125,1.125,500
1999-03-10,1.125,1.125,1.125,1.125,300
1999-03-11,1.09375,1.09375,1.09375,1.09375,300
1999-03-12,1.09375,1.09375,1.09375,1.09375,0
1999-03-15,1.09375,1.09375,1.09375,1.09375,0
1999-03-16,1.09375,1.09375,1.09375,1.09375,0
1999-03-17,1.09375,1.09375,1.09375,1.09375,0
1999-03-18,1.09375,1.09375,1.09375,1.09375,0
1999-03-19,1.0,1.0,0.96875,1.0,7400
1999-03-22,1.0,1.0,1.0,1.0,2500
1999-03-23,1.0,1.0,1.0,1.0,0
1999-03-24,1.0,1.0,1.0,1.0,0
1999-03-25,1.0,1.0,1.0,1.0,0
1999-03-26,1.0,1.0,1.0,1.0,0
1999-03-29,1.0,1.0,1.0,1.0,0
1999-03-30,1.0,1.0,1.0,1.0,0
1999-03-31,1.0,1.0,1.0,1.0,0
1999-04-01,1.0,1.0,1.0,1.0,0
1999-04-05,1.0,1.0,1.0,1.0,0
1999-04-06,1.0,1.0,1.0,1.0,0
1999-04-07,1.0,1.0,1.0,1.0,0
1999-04-08,1.0,1.0,1.0,1.0,0
1999-04-09,1.0,1.0,1.0,1.0,0
1999-04-12,1.0,1.0,1.0,1.0,0
1999-04-13,0.96875,0.96875,0.96875,0.96875,800
1999-04-14,0.96875,0.96875,0.96875,0.96875,500
1999-04-15,0.96875,0.96875,0.96875,0.96875,0
1999-04-16,1.03125,1.03125,1.03125,1.03125,1000
1999-04-19,1.03125,1.03125,1.03125,1.03125,0
1999-04-20,1.03125,1.03125,1.03125,1.03125,0
1999-04-21,1.03125,1.03125,1.03125,1.03125,0
1999-04-22,1.03125,1.03125,1.03125,1.03125,0
1999-04-23,1.03125,1.03125,1.03125,1.03125,0
1999-04-26,1.03125,1.03125,1.03125,1.03125,0
1999-04-27,1.03125,1.03125,1.03125,1.03125,0
1999-04-28,0.96875,0.96875,0.96875,0.96875,1000
1999-04-29,0.96875,0.96875,0.96875,0.96875,800
1999-04-30,0.96875,0.96875,0.96875,0.96875,1000
1999-05-03,0.96875,0.96875,0.96875,0.96875,0
1999-05-04,0.96875,0.96875,0.96875,0.96875,0
1999-05-05,0.96875,0.96875,0.96875,0.96875,0
1999-05-06,0.96875,0.96875,0.96875,0.96875,0
1999-05-07,1.0625,1.0625,1.0625,1.0625,1000
1999-05-10,0.96875,0.96875,0.96875,0.96875,1000
1999-05-11,0.96875,0.96875,0.96875,0.96875,0
1999-05-12,0.96875,0.96875,0.96875,0.96875,0
1999-05-13,0.96875,0.96875,0.96875,0.96875,0
1999-05-14,0.96875,0.96875,0.96875,0.96875,0
1999-05-17,0.96875,0.96875,0.96875,0.96875,0
1999-05-18,0.96875,0.96875,0.96875,0.96875,0
1999-05-19,1.0625,1.0625,1.0625,1.0625,2000
1999-05-20,0.96875,0.96875,0.96875,0.96875,2200
1999-05-21,0.96875,0.96875,0.96875,0.96875,0
1999-05-24,0.96875,0.96875,0.96875,0.96875,0
1999-05-25,1.0625,1.0625,1.0625,1.0625,500
1999-05-26,0.96875,0.96875,0.96875,0.96875,2300
1999-05-27,0.96875,0.96875,0.96875,0.96875,5500
1999-05-28,0.96875,0.96875,0.96875,0.96875,1000
1999-06-01,0.96875,0.96875,0.96875,0.96875,0
1999-06-02,0.96875,0.96875,0.96875,0.96875,0
1999-06-03,0.96875,0.96875,0.96875,0.96875,3500
1999-06-04,0.96875,0.96875,0.96875,0.96875,0
1999-06-07,0.84375,0.96875,0.84375,0.96875,4000
1999-06-08,0.84375,0.84375,0.84375,0.84375,0
1999-06-09,0.84375,0.84375,0.84375,0.84375,0
1999-06-10,0.84375,0.84375,0.84375,0.84375,2000
1999-06-11,0.84375,0.84375,0.84375,0.84375,0
1999-06-14,0.84375,0.84375,0.84375,0.84375,0
1999-06-15,0.84375,0.84375,0.84375,0.84375,0
1999-06-16,0.78125,0.78125,0.78125,0.78125,2000
1999-06-17,0.78125,0.78125,0.78125,0.78125,0
1999-06-18,0.78125,0.78125,0.78125,0.78125,0
1999-06-21,0.9375,0.9375,0.9375,0.9375,2000
1999-06-22,0.9375,0.9375,0.9375,0.9375,0
1999-06-23,0.8125,0.8125,0.8125,0.8125,7000
1999-06-24,0.8125,0.8125,0.8125,0.8125,0
1999-06-25,0.8125,0.8125,0.8125,0.8125,0
1999-06-28,0.8125,0.8125,0.8125,0.8125,3000
1999-06-29,0.78125,0.78125,0.78125,0.78125,2000
1999-06-30,0.78125,0.78125,0.78125,0.78125,0
1999-07-01,0.78125,0.78125,0.78125,0.78125,0
1999-07-02,0.78125,0.78125,0.78125,0.78125,0
1999-07-06,0.78125,0.78125,0.78125,0.78125,0
1999-07-07,0.78125,0.78125,0.78125,0.78125,0
1999-07-08,0.75,0.765625,0.75,0.765625,12400
1999-07-09,0.84375,0.84375,0.84375,0.84375,2000
1999-07-12,0.84375,0.84375,0.84375,0.84375,0
1999-07-13,0.84375,0.84375,0.84375,0.84375,0
1999-07-14,0.84375,0.84375,0.84375,0.84375,0
1999-07-15,0.84375,0.84375,0.84375,0.84375,0
1999-07-16,0.703125,0.703125,0.703125,0.703125,1000
1999-07-19,0.84375,0.84375,0.703125,0.703125,4000
1999-07-20,0.84375,0.84375,0.84375,0.84375,0
1999-07-21,0.84375,0.84375,0.84375,0.84375,0
1999-07-22,0.84375,0.84375,0.84375,0.84375,0
1999-07-23,0.875,0.875,0.875,0.875,5000
1999-07-26,0.875,0.875,0.875,0.875,0
1999-07-27,0.875,0.875,0.875,0.875,0
1999-07-28,0.75,0.75,0.75,0.75,2000
1999-07-29,0.75,0.75,0.75,0.75,0
1999-07-30,0.75,0.75,0.75,0.75,0
1999-08-02,0.75,0.75,0.75,0.75,2000
1999-08-03,0.75,0.75,0.75,0.75,0
1999-08-04,0.703125,0.75,0.703125,0.75,10100
1999-08-05,0.84375,0.84375,0.8125,0.8125,4000
1999-08-06,0.84375,0.84375,0.84375,0.84375,0
1999-08-09,0.84375,0.84375,0.84375,0.84375,0
1999-08-10,0.84375,0.84375,0.84375,0.84375,0
1999-08-11,0.84375,0.84375,0.84375,0.84375,0
1999-08-12,0.84375,0.84375,0.84375,0.84375,0
1999-08-13,0.84375,0.84375,0.84375,0.84375,0
1999-08-16,0.84375,0.84375,0.84375,0.84375,0
1999-08-17,0.84375,0.84375,0.84375,0.84375,0
1999-08-18,0.84375,0.84375,0.84375,0.84375,0
1999-08-19,0.84375,0.84375,0.84375,0.84375,0
1999-08-20,0.84375,0.84375,0.84375,0.84375,0
1999-08-23,0.84375,0.84375,0.84375,0.84375,0
1999-08-24,0.84375,0.84375,0.84375,0.84375,0
