Price,Close,High,Low,Open,Volume
Ticker,EA,EA,EA,EA,EA
Date,,,,,
1989-09-20,0.5030128359794617,0.5182556491909605,0.5030128359794617,0.0,15396800
1989-09-21,0.4877700209617615,0.4953918927130303,0.4877700209617615,0.0,6224000
1989-09-22,0.4877700209617615,0.4953918927130303,0.4877700209617615,0.0,2041600
1989-09-25,0.45728442072868347,0.4649063219879565,0.45728442072868347,0.0,3072000
1989-09-26,0.45728442072868347,0.4649063219879565,0.45728442072868347,0.0,888000
1989-09-27,0.45728442072868347,0.4649063219879565,0.45728442072868347,0.0,523200
1989-09-28,0.4420416057109833,0.4572844197010172,0.4420416057109833,0.0,574400
1989-09-29,0.4420416057109833,0.4572844197010172,0.4420416057109833,0.0,240000
1989-10-02,0.45728442072868347,0.4649063219879565,0.45728442072868347,0.0,1244800
1989-10-03,0.4877700209617615,0.5030128341168165,0.4572843946516514,0.0,883200
1989-10-04,0.49539196491241455,0.5030129074268918,0.48777009205031924,0.0,868800
1989-10-05,0.49539196491241455,0.5030129074268918,0.49539196491241455,0.0,923200
1989-10-06,0.49539196491241455,0.5030129074268918,0.48777009205031924,0.0,1020800
1989-10-09,0.49539196491241455,0.49539196491241455,0.48777009205031924,0.0,148800
1989-10-10,0.48014914989471436,0.4877700628800729,0.48014914989471436,0.0,1056000
1989-10-11,0.46490636467933655,0.48777009356817086,0.46490636467933655,0.0,497600
1989-10-12,0.4877700209617615,0.4877700209617615,0.46490629547627904,0.0,288000
1989-10-13,0.46490636467933655,0.48777009356817086,0.46490636467933655,0.0,876800
1989-10-16,0.44966351985931396,0.44966351985931396,0.4344207054317827,0.0,414400
1989-10-17,0.43442070484161377,0.4420416177978848,0.42679880339106124,0.0,126400
1989-10-18,0.4267987608909607,0.4420415737799236,0.4267987608909607,0.0,196800
1989-10-19,0.46490636467933655,0.46490636467933655,0.4267988318721495,0.0,1188800
1989-10-20,0.44966351985931396,0.46490633428684525,0.44966351985931396,0.0,188800
1989-10-23,0.44966351985931396,0.44966351985931396,0.44966351985931396,0.0,54400
1989-10-24,0.4420416057109833,0.44966350695312746,0.43442069296309355,0.0,734400
1989-10-25,0.4420416057109833,0.4572844197010172,0.4420416057109833,0.0,32000
1989-10-26,0.45728442072868347,0.45728442072868347,0.442041606704394,0.0,94400
1989-10-27,0.48014914989471436,0.49539193528635533,0.45728443395006835,0.0,1652800
1989-10-30,0.48014914989471436,0.49539193528635533,0.45728443395006835,0.0,476800
1989-10-31,0.45728442072868347,0.4725272347529729,0.45728442072868347,0.0,52800
1989-11-01,0.47252729535102844,0.47252729535102844,0.45728447937196304,0.0,798400
1989-11-02,0.45728442072868347,0.4725272347529729,0.45728442072868347,0.0,438400
1989-11-03,0.45728442072868347,0.4725272347529729,0.45728442072868347,0.0,169600
1989-11-06,0.45728442072868347,0.4725272347529729,0.45728442072868347,0.0,182400
1989-11-07,0.47252729535102844,0.47252729535102844,0.45728447937196304,0.0,478400
1989-11-08,0.47252729535102844,0.4801491975877529,0.45728447937196304,0.0,1408000
1989-11-09,0.47252729535102844,0.4953919844934541,0.45728447937196304,0.0,1052800
1989-11-10,0.49539196491241455,0.510634780288987,0.4725272766737468,0.0,827200
1989-11-13,0.5334984660148621,0.5563631511606737,0.5030128393854414,0.0,5342400
1989-11-14,0.5258775353431702,0.548741290611563,0.5258775353431702,0.0,531200
1989-11-15,0.5334984660148621,0.5334984660148621,0.5106347112165427,0.0,1427200
1989-11-16,0.5334984660148621,0.5334984660148621,0.5182556527001517,0.0,1683200
1989-11-17,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.0,342400
1989-11-20,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.0,313600
1989-11-21,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.0,633600
1989-11-22,0.5258775353431702,0.533498476983464,0.518255663355365,0.0,768000
1989-11-24,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.0,89600
1989-11-27,0.5334984660148621,0.5334984660148621,0.5182556527001517,0.0,291200
1989-11-28,0.5030128359794617,0.5334984624024594,0.5030128359794617,0.0,640000
1989-11-29,0.4877700209617615,0.5258775190231404,0.4877700209617615,0.0,268800
1989-11-30,0.5106346607208252,0.5106346607208252,0.48776997783605974,0.0,1244800
1989-12-01,0.5182557106018066,0.5182557106018066,0.4953919532490545,0.0,4254400
1989-12-04,0.49539196491241455,0.5182557228034642,0.49539196491241455,0.0,248000
1989-12-05,0.5182557106018066,0.5182557106018066,0.4953919532490545,0.0,264000
1989-12-06,0.5411204099655151,0.5716060406580057,0.5258775946192699,0.0,2803200
1989-12-07,0.5106346607208252,0.5411202843355789,0.5106346607208252,0.0,409600
1989-12-08,0.5106346607208252,0.5334984132581904,0.5106346607208252,0.0,70400
1989-12-11,0.5106346607208252,0.5334984132581904,0.5106346607208252,0.0,73600
1989-12-12,0.5334984660148621,0.5334984660148621,0.5106347112165427,0.0,222400
1989-12-13,0.5182557106018066,0.5411203983021551,0.5182557106018066,0.0,1089600
1989-12-14,0.5106346607208252,0.525877472528202,0.5030127896434367,0.0,273600
1989-12-15,0.5106346607208252,0.5182556014508135,0.5030127896434367,0.0,73600
1989-12-18,0.5106346607208252,0.5106346607208252,0.49539184891344834,0.0,448000
1989-12-19,0.5030128359794617,0.5258775209704529,0.4953918945474553,0.0,790400
1989-12-20,0.5182557106018066,0.5334985256195068,0.5030128955841064,0.0,1499200
1989-12-21,0.5106346607208252,0.5334984132581904,0.5106346607208252,0.0,17600
1989-12-22,0.5563632249832153,0.5563632249832153,0.5106347789714832,0.0,438400
1989-12-26,0.5411204099655151,0.5411204099655151,0.5411204099655151,0.0,51200
1989-12-27,0.5411204099655151,0.5411204099655151,0.5411204099655151,0.0,88000
1989-12-28,0.5411204099655151,0.5411204099655151,0.5411204099655151,0.0,86400
1989-12-29,0.5563632249832153,0.5563632249832153,0.5411204096459713,0.0,99200
1990-01-02,0.5334984660148621,0.5563631511606737,0.5334984660148621,0.0,209600
1990-01-03,0.5563632249832153,0.5563632249832153,0.5334985368035414,0.0,81600
1990-01-04,0.5106346607208252,0.5334984132581904,0.5106346607208252,0.0,659200
1990-01-05,0.5334984660148621,0.5334984660148621,0.5106347112165427,0.0,304000
1990-01-08,0.5334984660148621,0.5334984660148621,0.5182556527001517,0.0,32000
1990-01-09,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.0,204800
1990-01-10,0.5182557106018066,0.5411203983021551,0.5182557106018066,0.0,411200
1990-01-11,0.5334984660148621,0.5411203378459634,0.5182556527001517,0.0,483200
1990-01-12,0.4877700209617615,0.5334984604269266,0.4877700209617615,0.0,457600
1990-01-15,0.4877700209617615,0.5030128341168165,0.4877700209617615,0.0,360000
1990-01-16,0.49539196491241455,0.49539196491241455,0.48014917860920514,0.0,440000
1990-01-17,0.5030128359794617,0.5106347077589541,0.48014911040931535,0.0,1248000
1990-01-18,0.5030128359794617,0.5030128359794617,0.5030128359794617,0.5030128359794617,0
1990-01-19,0.5258775353431702,0.5258775353431702,0.49539190808697225,0.0,1452800
1990-01-22,0.5258775353431702,0.5258775353431702,0.5106347217150712,0.0,387200
1990-01-23,0.5106346607208252,0.5182556014508135,0.5106346607208252,0.0,97600
1990-01-24,0.4877700209617615,0.5182556472718716,0.46490629547627904,0.0,617600
1990-01-25,0.47252729535102844,0.4877701113300939,0.47252729535102844,0.0,361600
1990-01-26,0.47252729535102844,0.4877701113300939,0.47252729535102844,0.0,316800
1990-01-29,0.49539196491241455,0.510634780288987,0.48777009205031924,0.0,499200
1990-01-30,0.4877700209617615,0.5030128341168165,0.4877700209617615,0.0,425600
1990-01-31,0.5106346607208252,0.5106346607208252,0.48776997783605974,0.0,707200
1990-02-01,0.49539196491241455,0.5030129074268918,0.49539196491241455,0.0,115200
1990-02-02,0.48014914989471436,0.5030128773450752,0.48014914989471436,0.0,1622400
1990-02-05,0.49539196491241455,0.49539196491241455,0.48014917860920514,0.0,118400
1990-02-06,0.49539196491241455,0.49539196491241455,0.48014917860920514,0.0,1385600
1990-02-07,0.5030128359794617,0.5030128359794617,0.48014911040931535,0.0,208000
1990-02-08,0.5182557106018066,0.5182557106018066,0.5030128955841064,0.0,2328000
1990-02-09,0.5030128359794617,0.5182556491909605,0.5030128359794617,0.0,182400
1990-02-12,0.5106346607208252,0.525877472528202,0.5030127896434367,0.0,1180800
1990-02-13,0.5258775353431702,0.5258775353431702,0.5106347217150712,0.0,120000
1990-02-14,0.5258775353431702,0.5258775353431702,0.5106347217150712,0.0,217600
1990-02-15,0.5106346607208252,0.525877472528202,0.5106346607208252,0.0,126400
1990-02-16,0.5334984660148621,0.5334984660148621,0.5106347112165427,0.0,747200
1990-02-20,0.5334984660148621,0.5334984660148621,0.5182556527001517,0.0,228800
1990-02-21,0.5334984660148621,0.5334984660148621,0.525877524531253,0.0,75200
1990-02-22,0.5716060400009155,0.5792269824914693,0.5334985365053007,0.0,3094400
1990-02-23,0.5716060400009155,0.5716060400009155,0.5563632246721927,0.0,632000
1990-02-26,0.5716060400009155,0.5716060400009155,0.5639841671627465,0.0,654400
1990-02-27,0.5792270302772522,0.5792270302772522,0.5639842136910087,0.0,300800
1990-02-28,0.5944697260856628,0.6097125395750388,0.5716059710253504,0.0,3123200
1990-03-01,0.5944697260856628,0.5944697260856628,0.5792269125962869,0.0,1270400
1990-03-02,0.5868489146232605,0.5944698578838138,0.579227041014998,0.0,953600
1990-03-05,0.5868489146232605,0.5868489146232605,0.579227041014998,0.0,616000
1990-03-06,0.5716060400009155,0.5868488553296384,0.5487413518340236,0.0,822400
1990-03-07,0.5716060400009155,0.5716060400009155,0.5563632246721927,0.0,817600
1990-03-08,0.5639841556549072,0.5716060283375555,0.5563632133198553,0.0,366400
1990-03-09,0.5563632249832153,0.5639841674780295,0.5563632249832153,0.0,320000
1990-03-12,0.5563632249832153,0.5639841674780295,0.5487413521407855,0.0,960000
1990-03-13,0.5487412214279175,0.5639840331342485,0.5487412214279175,0.0,49600
1990-03-14,0.5563632249832153,0.5563632249832153,0.5487413521407855,0.0,46400
1990-03-15,0.5639841556549072,0.5639841556549072,0.548741340637207,0.0,507200
1990-03-16,0.5639841556549072,0.5639841556549072,0.5563632133198553,0.0,1012800
1990-03-19,0.5639841556549072,0.5639841556549072,0.5563632133198553,0.0,929600
1990-03-20,0.5563632249832153,0.5639841674780295,0.5563632249832153,0.0,464000
1990-03-21,0.5411204099655151,0.5639841678110749,0.518255721772339,0.0,12508800
1990-03-22,0.5334984660148621,0.5563631511606737,0.5182556527001517,0.0,4529600
1990-03-23,0.5182557106018066,0.548741340637207,0.5182557106018066,0.0,987200
1990-03-26,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.5334985256195068,51200
1990-03-27,0.5258775353431702,0.5258775353431702,0.5106347217150712,0.518255663355365,532800
1990-03-28,0.5334984660148621,0.5334984660148621,0.5182556527001517,0.5182556527001517,65600
1990-03-29,0.5258775353431702,0.533498476983464,0.518255663355365,0.518255663355365,227200
1990-03-30,0.5182557106018066,0.5334985256195068,0.5182557106018066,0.5182557106018066,555200
1990-04-02,0.5258775353431702,0.533498476983464,0.5258775353431702,0.533498476983464,86400
1990-04-03,0.5563632249832153,0.5716060403204594,0.5334985368035414,0.5334985368035414,1124800
1990-04-04,0.5563632249832153,0.5716060403204594,0.5487413521407855,0.5716060403204594,3081600
1990-04-05,0.5639841556549072,0.5792269706726074,0.548741340637207,0.5639841556549072,500800
