Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ABSI,ABTS,ABSI,ABTS,ABSI,ABTS,ABSI,ABTS,ABSI,ABTS
Date,,,,,,,,,,
2014-04-10,,32.0,,32.0,,30.0,,30.0,,700
2014-04-11,,35.0,,35.5,,32.0,,32.0,,900
2014-04-14,,38.0,,38.0,,38.0,,38.0,,200
2014-04-15,,40.0,,40.0,,37.0,,38.0,,700
2014-04-16,,41.0,,41.0,,38.5,,39.5,,350
2014-04-17,,40.5,,40.5,,40.5,,40.5,,100
2014-04-21,,41.5,,41.900001525878906,,41.5,,41.900001525878906,,40
2014-04-22,,42.5,,42.5,,42.5,,42.5,,20
2014-04-23,,42.5,,42.5,,42.5,,42.5,,20
2014-04-24,,41.5,,41.5,,41.5,,41.5,,20
2014-04-25,,41.400001525878906,,41.400001525878906,,41.400001525878906,,41.400001525878906,,10
2014-04-28,,41.5,,42.5,,41.400001525878906,,41.400001525878906,,100
2014-04-29,,48.0,,49.0,,48.0,,49.0,,40
2014-04-30,,49.0,,49.0,,49.0,,49.0,,20
2014-05-01,,48.0,,48.0,,48.0,,48.0,,50
2014-05-02,,48.0,,48.0,,48.0,,48.0,,20
2014-05-05,,45.0,,45.0,,45.0,,45.0,,100
2014-05-06,,48.0,,48.0,,48.0,,48.0,,50
2014-05-07,,49.0,,49.5,,49.0,,49.5,,60
2014-05-08,,48.5,,50.0,,48.5,,50.0,,190
2014-05-09,,48.5,,48.5,,48.5,,48.5,,200
2014-05-12,,48.5,,49.5,,48.5,,49.5,,120
2014-05-13,,49.0,,49.5,,48.099998474121094,,48.5,,90
2014-05-14,,48.29999923706055,,52.0,,48.29999923706055,,49.0,,290
2014-05-15,,50.0,,50.0,,50.0,,50.0,,10
2014-05-16,,49.0,,52.0,,49.0,,49.900001525878906,,110
2014-05-19,,49.900001525878906,,51.5,,49.900001525878906,,51.5,,20
2014-05-20,,50.0,,50.0,,50.0,,50.0,,30
2014-05-21,,49.0,,49.0,,49.0,,49.0,,60
2014-05-22,,51.0,,51.0,,51.0,,51.0,,10
2014-05-23,,51.0,,51.0,,51.0,,51.0,,0
2014-05-27,,50.0,,50.0,,50.0,,50.0,,10
2014-05-28,,50.0,,50.0,,48.0,,48.0,,20
2014-05-29,,50.5,,50.5,,50.5,,50.5,,10
2014-05-30,,50.5,,51.0,,47.0,,47.0,,100
2014-06-02,,50.5,,50.5,,50.5,,50.5,,10
2014-06-03,,50.0,,50.0,,50.0,,50.0,,10
2014-06-04,,50.0,,50.0,,50.0,,50.0,,10
2014-06-05,,50.5,,50.5,,49.0,,49.0,,40
2014-06-06,,50.5,,50.5,,50.5,,50.5,,10
2014-06-09,,50.5,,50.5,,50.5,,50.5,,10
2014-06-10,,51.0,,51.0,,51.0,,51.0,,20
2014-06-11,,51.0,,51.0,,51.0,,51.0,,10
2014-06-12,,51.0,,51.0,,51.0,,51.0,,10
2014-06-13,,51.0,,51.0,,51.0,,51.0,,10
2014-06-16,,51.5,,51.5,,47.0,,51.5,,40
2014-06-17,,51.5,,51.5,,51.5,,51.5,,40
2014-06-18,,51.5,,51.5,,51.5,,51.5,,10
2014-06-19,,52.0,,52.0,,51.5,,51.5,,70
2014-06-20,,51.5,,51.5,,51.5,,51.5,,20
2014-06-23,,52.0,,52.0,,51.5,,51.5,,50
2014-06-24,,52.0,,52.0,,51.5,,51.5,,20
2014-06-25,,52.0,,52.0,,51.5,,51.5,,50
2014-06-26,,52.0,,52.0,,51.5,,51.5,,40
2014-06-27,,51.5,,51.5,,51.5,,51.5,,60
2014-06-30,,51.5,,51.5,,51.5,,51.5,,30
2014-07-01,,55.0,,110.0,,51.79999923706055,,51.79999923706055,,110
2014-07-02,,57.0,,57.0,,57.0,,57.0,,20
2014-07-03,,57.0,,57.0,,57.0,,57.0,,0
2014-07-07,,57.0,,57.0,,57.0,,57.0,,80
2014-07-08,,57.0,,57.0,,57.0,,57.0,,20
2014-07-09,,58.0,,58.0,,57.0,,57.0,,60
2014-07-10,,59.0,,59.0,,58.0,,58.0,,30
2014-07-11,,59.0,,59.0,,59.0,,59.0,,20
2014-07-14,,57.0,,57.0,,57.0,,57.0,,50
2014-07-15,,58.0,,58.0,,58.0,,58.0,,60
2014-07-16,,58.0,,58.0,,58.0,,58.0,,30
2014-07-17,,59.0,,59.0,,59.0,,59.0,,20
2014-07-18,,59.0,,59.0,,59.0,,59.0,,30
2014-07-21,,58.0,,58.0,,58.0,,58.0,,20
2014-07-22,,58.20000076293945,,58.20000076293945,,58.20000076293945,,58.20000076293945,,20
2014-07-23,,58.20000076293945,,58.20000076293945,,58.20000076293945,,58.20000076293945,,20
2014-07-24,,58.5,,58.5,,58.5,,58.5,,30
2014-07-25,,58.0,,58.0,,58.0,,58.0,,20
2014-07-28,,59.0,,59.0,,59.0,,59.0,,20
2014-07-29,,57.0,,57.0,,57.0,,57.0,,30
2014-07-30,,59.5,,59.5,,59.5,,59.5,,20
2014-07-31,,60.0,,60.0,,60.0,,60.0,,30
2014-08-01,,60.0,,60.0,,60.0,,60.0,,20
2014-08-04,,60.0,,60.0,,60.0,,60.0,,20
2014-08-05,,60.0,,60.0,,60.0,,60.0,,30
2014-08-06,,62.5,,62.5,,60.0,,60.0,,60
2014-08-07,,61.0,,61.0,,59.0,,59.0,,40
2014-08-08,,61.0,,61.0,,61.0,,61.0,,40
2014-08-11,,61.0,,61.0,,61.0,,61.0,,30
2014-08-12,,61.0,,61.0,,61.0,,61.0,,20
2014-08-13,,62.5,,62.5,,61.0,,61.0,,30
2014-08-14,,60.5,,62.5,,60.5,,62.5,,70
2014-08-15,,61.0,,61.0,,61.0,,61.0,,20
2014-08-18,,60.5,,60.5,,60.5,,60.5,,30
2014-08-19,,61.0,,61.0,,61.0,,61.0,,50
2014-08-20,,62.0,,62.0,,61.0,,61.0,,60
2014-08-21,,61.0,,61.0,,61.0,,61.0,,30
2014-08-22,,60.5,,60.5,,60.5,,60.5,,50
2014-08-25,,61.0,,61.0,,61.0,,61.0,,40
2014-08-26,,60.5,,61.0,,60.5,,61.0,,90
2014-08-27,,43.0,,60.0,,43.0,,59.5,,150
2014-08-28,,53.5,,55.5,,46.5,,46.5,,300
2014-08-29,,55.0,,60.0,,55.0,,55.0,,140
2014-09-02,,56.5,,57.0,,56.0,,56.0,,110
2014-09-03,,55.0,,57.5,,55.0,,57.5,,130
2014-09-04,,57.5,,61.900001525878906,,54.0,,54.0,,200
2014-09-05,,58.0,,58.0,,57.5,,57.5,,80
2014-09-08,,58.0,,60.0,,55.0,,55.099998474121094,,250
2014-09-09,,55.099998474121094,,58.0,,55.0,,58.0,,310
2014-09-10,,58.5,,58.5,,58.5,,58.5,,50
2014-09-11,,59.0,,59.0,,55.900001525878906,,55.900001525878906,,50
